"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",95.3720905,0.547418825730068,174.221429766882,7.89480885243632e-103
"specieslatbiACEMAC",0.980744907407408,0.605194282707862,1.62054555938499,0.109151211244356
"specieslatbiALNRUB",2.2324591,0.599667278510695,3.7228296090199,0.000370264485524252
"specieslatbiPOPTRI",0.835914166666637,0.948157219184171,0.881619788104222,0.380691171659798
"specieslatbiTHUPLI",1.88141883333333,0.647714689557957,2.90470304852486,0.00478048135715731
"specieslatbiTSUHET",2.7380855,0.948157219184171,2.88779692291532,0.00501838385495
