"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",94.5963083333333,0.792431397307443,119.374760584647,4.52599862810913e-90
"specieslatbiACEMAC",1.42278303703704,0.876065872321945,1.62405942519603,0.108397759333742
"specieslatbiALNRUB",3.2634442,0.86806510316125,3.75944636884428,0.000327280541443246
"specieslatbiPOPTRI",1.65736933333324,1.37253144164929,1.20752740741711,0.230877947593791
"specieslatbiTHUPLI",2.75177526666667,0.937617473820788,2.93485919737949,0.00438177971349435
"specieslatbiTSUHET",4.148443,1.37253144164929,3.02247575109468,0.00339107225446249
