"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",84.773729,1.90228893222423,44.5640657231177,3.02709608322017e-57
"specieslatbiACEMAC",6.48462118518519,2.10305954367786,3.08342253298486,0.00282923522791987
"specieslatbiALNRUB",10.2271554,2.08385311814325,4.90781010953044,4.94188634648567e-06
"specieslatbiPOPTRI",6.5805066666667,3.29486108128832,1.99720306996788,0.049290721254601
"specieslatbiTHUPLI",8.9452366,2.25081861870919,3.97421477041539,0.000156494227469974
"specieslatbiTSUHET",11.691634,3.29486108128832,3.54844520347076,0.000659823622934397
