"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",79.2675913666667,1.13077655179776,70.1001371496813,3.39133005020493e-96
"specieslatbiALNRUB",5.22023313333335,1.48053404076983,3.52591226515738,0.000607088826166817
"specieslatbiPOPTRI",8.1005538,1.69616482769664,4.77580578710644,5.32070170997425e-06
"specieslatbiTHUPLI",9.45160196666667,1.76218798136317,5.36356056597049,4.27413479420149e-07
"specieslatbiTSUHET",6.5674633,3.75036154404505,1.75115471478424,0.0825855683107986
