"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",81.2980376666667,0.985570996693608,82.4882610582141,3.6368682112582e-104
"specieslatbiALNRUB",4.56808111904762,1.29041534145758,3.54000837737079,0.000578604364015568
"specieslatbiPOPTRI",7.13337033333334,1.47835649504041,4.825203093614,4.33283887692811e-06
"specieslatbiTHUPLI",8.19825314285715,1.53590146735216,5.33774680024925,4.79103967985166e-07
"specieslatbiTSUHET",6.25651266666667,3.2687692002893,1.91402704911468,0.0581019390642733
