Site,Plot,SM_1,SM_2,SM_3,SM_4,SM_5
JCMH1,A,13.2,10.3,2.6,15.3,12.6
,B,14.5,8.7,10.1,25.1,14.1
,C,1.1,0.6,0.1,0.3,0.6
,D,39.1,21.9,33.4,23.6,23.8
,E,31,16.8,31.6,30.4,15.1
,F,1.3,0.4,13.4,1.2,3
JCMH2,A,20.5,23.7,27.6,32.3,26.9
,B,7.4,1.5,0.3,0.9,3.5
,C,32.1,17.7,24.1,14.7,23.1
,D,22.3,15.2,18.6,8.8,11.1
,E,20.3,21.6,38.6,17.3,31
,F,18.4,7.3,7.7,15.4,12.2
JCMH3,A,5.4,12.3,6.8,4.1,23.6
,B,36.6,23.7,25.6,9.2,17
,C,34.3,17.4,33.8,26.2,16.5
,D,13.4,19.2,23.8,21.2,17.2
,E,15.9,11.6,15.9,27.3,21.4
,F,18.4,15.2,12,6.9,14.6
JCMH4,A,15.8,14.3,1.7,5.5,6.2
,B,15.3,15,8.6,0.2,1.2
,C,44.1,43.4,9.8,16.8,17.3
,D,26,21,30,16.9,13.8
,E,24.8,11.4,13.9,11.4,16.9
,F,17.2,18.2,14.7,15,21.9
JCMH5,A,1.1,0.9,1.7,4.5,4.8
,B,13,15.3,14.9,12.3,15.1
,C,6.7,7.2,14.2,10.6,7.2
,D,,,,,
,E,2.1,3.6,4.7,5.1,4.8
,F,5.4,7.7,5.7,3,9.4
JCMH6,A,18.6,18.8,23.9,47.1,16.3
,B,16.8,15.7,7.9,14,16.7
,C,20.8,8.8,8.2,26.6,15.9
,D,20.1,16.5,24.6,22,12.4
,E,19.4,25.5,34.7,14.7,33.7
,F,16.6,19.6,9.1,19.7,20.5
JCMH7,A,14.5,20.5,28.1,16.1,28.8
,B,8.1,6.7,1.9,22,8
,C,10.6,27.7,17.6,20.3,24.6
,D,23.5,21.1,20.8,21,14.6
,E,30.7,24.6,36.7,30.4,20.5
,F,20.1,21.2,37.2,26.6,30
JCMH8,A,,,,,
,B,3.4,4.1,2.6,0.4,2.2
,C,16.1,9.7,21.2,15.8,10.1
,D,,,,,
,E,4.5,12.9,5.5,11.7,11
,F,14,4.8,11.8,4.1,2.9
JCMH9,A,16.9,13.2,17.7,10.7,16.9
,B,12.3,4.2,23.8,13.4,18.2
,C,7.5,13.6,14.7,4.7,20.9
,D,16.9,8.9,12.1,12.2,13
,E,,,,,
,F,2.2,1.8,3.8,4.6,7.2
JCMH10,A,8.2,16,18.7,17.3,20.8
,B,16.3,8,9,6.8,13.5
,C,10.7,13.1,12.9,14.9,16
,D,19.6,11.7,12.6,8.4,13.7
,E,4.7,9.7,11.7,8.8,5.6
,F,2.5,12.9,9.4,1.8,4.7
JCMH11,A,,,,,
,B,16.5,13.5,3.8,2.7,7.2
,C,19.7,10.9,6.5,14.5,15.5
,D,0,0,0,0,0
,E,5.8,10.6,10.1,9.8,12.4
,F,5.2,2.5,25.6,11.2,6.1
JCMH12,A,29.4,23.2,14.4,25,11.3
,B,15.3,9.7,15.2,14.4,17.5
,C,28.1,13.5,17.7,14.2,11.7
,D,11.3,3.4,23.3,3.7,10.6
,E,11.8,6.2,6.8,15,2.7
,F,17.1,10.3,22.6,19.1,9.2
JCMH13,A,22.5,25.5,17.6,23.7,22
,B,27.5,19.3,21.1,9.9,27.5
,C,24.1,19.2,15,16.7,22.1
,D,17.5,25.8,19.3,11.4,19.9
,E,12.1,0.2,25.5,17.8,18.9
,F,,,,,
JCMH14,A,0.5,0.8,2.5,6.9,7.4
,B,15.7,18.6,22.5,8.8,18.4
,C,29.8,17.5,22.7,20.1,13.9
,D,17,15.4,28.3,18.5,7.8
,E,19.5,20.5,23.1,24.1,12.8
,F,46.9,20.4,37.4,24.8,38.7
JCMH15,A,11.2,17.1,17.1,10.4,5.3
,B,24.9,21,15.1,38.5,25.4
,C,28.2,28.8,23.2,23.1,24.9
,D,10.7,8.1,3.6,13.3,16.3
,E,27.1,21.8,17,26.5,18.5
,F,14,10.1,16.3,14.6,17.6
JCMH16,A,6.4,18.1,19.6,16,17.6
,B,18.9,18.8,14.8,10.7,9.1
,C,21.1,17.6,15.9,29.6,6.6
,D,14.9,12,13.4,16.5,7.2
,E,22.5,10.1,14.1,27.8,9.4
,F,12,19.4,11.7,19.6,18.5
JCMH17,A,29,35.9,33.3,26.8,37.8
,B,10,2.9,14.3,3.8,0.5
,C,15.1,12.9,16.8,20.3,7.5
,D,26.5,34.8,26.2,20.1,25.4
,E,20.3,13.4,19.2,17.1,11.9
,F,20.3,32.4,20.2,16,21.3
