"","R1_SF1","R10_SF1","R11_SF1","R12_SF1","R13_SF1","R14_SF1","R15_SF1","R2_SF1","R3_SF1","R4_SF1","R5_SF1","R6_SF1","R7_SF1","R8_SF1","R9_SF1"
"TWOSTO42.2",99.094307,98.838737,98.715988,99.337936,99.121002,99.696693,98.856178,99.523781,99.573532,99.059776,99.275002,99.319786,99.12117,98.324661,95.495888
"TWOSTO47",99.668137,99.264107,99.389839,98.667458,99.468117,99.791031,99.62487,99.534821,99.603935,99.682701,99.689392,99.407303,99.357895,99.243408,98.332436
"TWOSTO47.1",99.661774,99.269424,99.365562,98.679375,99.473557,99.783295,99.627914,99.538864,99.583389,99.666946,99.694557,99.403107,99.335892,99.18483,98.172447
"TWOSTO47.2",99.593773,99.050629,99.376678,98.442871,99.378059,99.792183,99.569832,99.438942,99.58876,99.681992,99.5532,99.304192,99.419518,99.464035,98.990623
"TWOSTO50",99.540901,99.372849,99.201874,99.055931,99.435951,99.766357,99.411728,99.628098,99.621193,99.479652,99.6968,99.487526,99.245331,98.877953,97.216713
"TWOSTO50.1",99.356842,99.176399,99.015564,99.290977,99.328537,99.742233,99.173813,99.623749,99.621017,99.309631,99.527275,99.453781,99.203896,98.644775,96.448433
"TWOSTO50.2",99.665443,99.325432,99.369408,98.768341,99.466911,99.786034,99.595581,99.56057,99.620834,99.652122,99.723259,99.443497,99.344147,99.206726,98.213676
"TWOSTO60",99.543152,99.333267,99.214622,98.697067,99.442215,99.676987,99.402512,99.575462,99.415535,99.47039,99.712891,99.412422,99.127754,98.717949,96.980446
"TWOSTO60.1",99.609474,99.069748,99.360405,98.413811,99.369102,99.749535,99.571678,99.433159,99.521675,99.655579,99.595459,99.286812,99.294258,99.244026,98.445366
"TWOSTO60.2",99.549194,99.360207,99.247841,99.051491,99.437752,99.771843,99.398064,99.623482,99.633812,99.496803,99.705269,99.488815,99.233185,98.860619,97.163719
