,Site,R1,R10,R11,R12,R13,R14,R15,R2,R3,R4,R5,R6,R7,R8,R9
THUPLI.9,PSPSFT,88.716438,81.341797,86.680992,84.738014,88.825059,97.506653,86.663795,91.918755,95.838478,90.047898,89.175903,89.673645,96.351868,87.901588,61.474014
THUPLI.10,PSPSFT,92.889732,88.092636,91.431152,89.950035,92.972993,98.567139,91.526359,94.927444,97.490173,93.682084,92.973984,93.230736,97.559853,91.909317,75.828979
THUPLI.11,PSPSFT,89.438873,83.0168,87.589661,86.311478,89.615533,97.793175,87.387001,92.621132,96.431251,90.6297,89.966232,90.689736,96.621429,88.431381,63.10173
THUPLI.12,PSPSFT,89.655624,82.788064,87.643417,86.322381,89.731796,97.821404,87.860885,92.664536,96.315011,90.862847,89.87928,90.42981,96.634056,88.900482,65.664222
THUPLI.13,PSPSFT,97.526191,97.13839,96.953903,98.541077,97.748314,99.432427,96.877998,98.835801,99.072953,97.574417,97.7883,98.499909,98.521591,96.26136,89.82209
THUPLI.14,PSPSFT,90.727599,84.076486,88.933037,87.864083,90.748825,97.836693,89.191696,93.280861,96.331658,91.844651,90.976837,91.309769,96.729156,90.138153,68.913047
TSUHET,PSPSFT,94.444923,91.095262,93.249977,93.988221,94.559593,98.97525,93.420158,96.33281,98.381142,94.959236,94.598183,95.197266,97.811035,93.382064,80.524292
TSUHET.1,PSPSFT,95.015281,92.185349,93.922875,95.001,95.139992,99.133599,94.097297,96.795258,98.682541,95.445389,95.177536,95.822495,98.041153,94.028991,82.486488
TSUHET.2,PSPSFT,97.331023,96.791787,96.73288,98.68422,97.553932,99.476441,96.646614,98.716668,99.170571,97.412125,97.583748,98.376328,98.47834,96.036529,89.11927
ACEMAC.21,PSPSFT,91.810303,85.582146,90.340011,89.369965,91.817078,97.499268,90.524803,93.942825,95.71711,92.717285,92.337677,92.437478,96.658164,91.209556,71.059197
ACEMAC.22,PSPSFT,95.934723,94.135857,95.108406,95.664536,96.113663,99.210572,95.040351,97.499702,98.697006,96.20549,96.199242,96.748749,98.128661,94.663482,84.847695
ACEMAC.23,PSPSFT,90.511894,84.386147,88.759689,86.901063,90.640641,97.790009,88.653526,93.329025,96.117073,91.509262,90.760307,91.229272,96.336036,88.785537,66.655647
ACEMAC.24,PSPSFT,97.330353,96.199272,96.719398,97.351189,97.464462,99.405815,96.687866,98.411781,98.959572,97.463837,97.561172,97.917976,98.502502,96.151901,89.187027
ACEMAC.25,PSPSFT,98.315727,98.363274,97.879623,99.124565,98.503708,99.577209,97.780663,99.293648,99.214195,98.263565,98.598,99.090141,98.648285,96.970879,92.160583
ACEMAC.26,PSPSFT,98.923088,99.383163,98.58506,99.311981,99.092384,99.559196,98.509323,99.680542,99.088501,98.795303,99.214752,99.543427,98.7939,97.639854,94.187454
ALNRUB.24,PSPSFT,96.363373,93.927147,95.553383,95.886673,96.425706,99.292573,95.66407,97.516014,98.854767,96.690888,96.519585,96.74408,98.461036,95.521072,86.540657
ALNRUB.25,PSPSFT,98.160324,97.437668,97.659516,98.025543,98.241273,99.553879,97.71875,98.904373,99.186165,98.20755,98.375931,98.52736,98.780143,97.157715,92.153732
ALNRUB.26,PSPSFT,97.748863,96.431191,97.13179,97.894593,97.790879,99.57026,97.297279,98.56031,99.307251,97.872177,97.922966,98.095528,98.743011,96.873947,91.041725
ALNRUB.27,PSPSFT,88.696418,81.606529,86.820809,85.372452,88.863381,97.30478,86.55439,92.072472,95.47416,89.956367,89.35672,90.020653,95.948921,87.364563,59.71334
ALNRUB.28,PSPSFT,85.499649,75.132965,82.916863,79.783837,85.509453,96.114747,83.097839,89.369499,93.301377,87.193405,86.086342,86.28682,94.528473,84.231301,50.041713
ALNRUB.29,PSPSFT,90.542701,84.434609,88.842972,87.313973,90.659989,97.77092,88.753479,93.329697,96.166497,91.570389,90.945045,91.40889,96.542419,89.242584,66.740844
ACEGLA.3,PSPSFT,87.476302,79.541543,85.369904,82.600205,87.615555,97.747208,84.877547,91.175041,96.091041,88.967483,87.595543,88.46901,96.157615,85.78476,57.439648
ACEGLA.4,PSPSFT,71.179672,53.504765,65.762863,54.427037,71.370262,94.874405,65.270408,79.425453,90.814949,74.261215,71.139648,72.827576,93.233734,69.346367,4.334237
ACEGLA.5,PSPSFT,73.051704,55.944669,67.656944,57.007428,73.154267,94.989059,67.810439,80.601287,90.989151,75.896514,72.929016,74.248772,93.640602,71.737915,11.650247
