"","R1_SG2","R10_SG2","R11_SG2","R12_SG2","R13_SG2","R14_SG2","R15_SG2","R2_SG2","R3_SG2","R4_SG2","R5_SG2","R6_SG2","R7_SG2","R8_SG2","R9_SG2"
"THUPLI01.8",97.386635,95.76487,96.708992,96.852737,97.445976,99.28125,96.920158,98.247444,98.877464,97.583221,97.55471,97.616608,98.671982,96.750015,90.501747
"THUPLI02.6",99.145943,97.691246,98.734604,98.668877,98.956451,99.325607,99.045547,99.126869,98.888519,99.054008,99.201225,98.760277,99.01239,98.863579,96.950348
"THUPLI02.7",98.780731,97.077095,98.339027,98.238083,98.637848,99.228767,98.654778,98.885445,98.71833,98.779762,98.848061,98.443962,98.90078,98.506371,95.665581
"THUPLI02.8",98.784348,97.432068,98.358116,98.469559,98.699135,99.364059,98.620064,99.01123,98.96862,98.814209,98.885429,98.618767,98.99411,98.420181,95.41848
"THUPLI03.4",99.387718,99.39344,99.05677,98.871033,99.540863,99.4692,99.061493,99.693573,99.0849,99.167915,99.639519,99.501266,98.9506,98.245674,95.889999
"THUPLI03.5",96.977692,95.959869,96.302994,96.876968,97.166954,99.419975,96.210541,98.249329,99.253876,97.123543,97.217529,97.706177,98.563934,95.873566,88.313248
"THUPLI03.6",97.541512,96.744446,96.912216,97.686707,97.701431,99.474251,96.960464,98.620224,99.317818,97.63121,97.775909,98.151337,98.676674,96.564613,90.417366
"THUPLI04.6",97.815086,95.846436,97.199577,97.125755,97.769409,99.145355,97.529381,98.333801,98.589462,97.963791,97.935829,97.723824,98.653175,97.412521,92.321365
"THUPLI04.7",98.427139,96.409393,97.890411,97.726646,98.285683,99.101997,98.28286,98.612968,98.498863,98.448044,98.499321,98.077324,98.711266,98.142593,94.575897
"THUPLI04.8",98.437157,96.551697,97.936478,97.828545,98.316574,99.157265,98.268402,98.662468,98.599121,98.479095,98.526711,98.154182,98.752274,98.1147,94.471558
"TSUHET01.6",98.815231,97.364433,98.341324,98.34198,98.710136,99.341507,98.61454,98.990295,98.918243,98.78479,98.889969,98.587601,98.911598,98.323227,95.2285
"TSUHET01.7",98.82135,98.584167,98.717476,97.859726,98.572769,99.533386,98.426613,99.021362,99.264847,98.544952,98.882286,98.946213,99.036385,99.338593,99.231323
"TSUHET01.8",97.817848,96.299599,97.232567,97.381294,97.843155,99.317749,97.447754,98.492424,98.919266,97.97364,97.966194,97.943176,98.777588,97.26757,92.001572
"TSUHET02.6",95.740547,93.86618,94.914711,94.966637,95.929893,99.200768,94.743248,97.330116,98.839645,96.072563,95.992996,96.505219,98.215858,94.587402,84.503479
"TSUHET02.7",94.089035,90.578125,92.931396,91.96756,94.210655,98.701988,92.913834,95.935982,97.855972,94.683517,94.289803,94.609535,97.751488,93.092133,79.647514
"TSUHET02.8",91.692154,86.418915,90.128532,88.00766,91.783089,98.148148,90.117577,94.103798,96.832283,92.620544,91.877403,92.178307,97.144485,90.727692,72.266861
"TSUHET03.10",98.001221,96.609871,97.459122,97.695877,98.025749,99.356392,97.64534,98.630859,98.98848,98.136284,98.156418,98.133965,98.814568,97.408646,92.434486
"TSUHET03.11",98.144669,96.935135,97.610687,97.978432,98.177246,99.411026,97.809219,98.767624,99.092148,98.247452,98.304382,98.310715,98.864235,97.525459,92.843086
"TSUHET03.9",97.458168,96.053322,96.820244,97.137466,97.536766,99.338783,96.955025,98.361221,99.000145,97.627533,97.649895,97.785362,98.634789,96.669418,90.438568
"TSUHET05.6",94.483414,90.10434,93.222847,92.074509,94.446495,98.301781,93.725304,95.856674,97.102386,95.0569,94.647926,94.452324,97.590698,94.081223,81.827988
"TSUHET05.7",99.178123,98.988533,98.740974,98.891907,99.120125,99.610313,99.009071,99.474327,99.399429,99.017372,99.430733,99.304977,98.862572,98.316963,96.067757
"TSUHET05.8",98.051437,98.061546,97.637291,98.747612,98.287636,99.556374,97.375809,99.139427,99.445419,98.042633,98.330673,98.917847,98.770859,96.866974,91.38678
"TSUHET06.6",91.139809,85.082031,89.428139,86.873299,91.173744,97.860031,89.596245,93.560036,96.286644,92.167076,91.292236,91.404457,96.875282,90.35025,70.944031
"TSUHET06.7",93.828712,89.779213,92.55056,91.242302,93.895393,98.520821,92.720688,95.624725,97.490562,94.46907,93.98333,94.132675,97.605003,92.967476,79.211098
"TSUHET06.8",99.066513,99.607895,98.642372,98.943314,99.268822,99.366348,98.689049,99.768227,98.935036,98.81588,99.393494,99.583992,98.787102,97.837555,94.929161
"TSUHET09.6",95.28508,92.314354,94.467438,93.939072,95.375488,98.835876,94.344696,96.719994,98.092812,95.806015,95.527977,95.752487,98.100578,94.515533,83.369675
"TSUHET09.7",99.339928,98.979774,99.013855,99.259537,99.290733,99.705139,99.160736,99.56765,99.583382,99.30822,99.492546,99.386299,99.239502,98.764351,96.73632
"TSUHET09.8",99.046494,98.513168,98.694862,99.143562,99.040039,99.641823,98.817154,99.406845,99.484154,99.052719,99.208313,99.164833,99.131851,98.418793,95.656693
