"","R1_SG1","R10_SG1","R11_SG1","R12_SG1","R13_SG1","R14_SG1","R15_SG1","R2_SG1","R3_SG1","R4_SG1","R5_SG1","R6_SG1","R7_SG1","R8_SG1","R9_SG1"
"TSUHET05.5",96.695396,94.524544,95.945023,95.598221,96.748901,99.139214,96.114769,97.681648,98.595757,97.028961,96.838493,96.904205,98.681412,96.308807,88.805634
"TSUHET06.3",96.373383,93.731056,95.544792,94.913864,96.38858,98.979912,95.798401,97.354378,98.284981,96.761223,96.49675,96.449081,98.498962,96.053947,87.997284
"TSUHET06.4",96.249466,93.765182,95.452652,94.920967,96.29982,99.040161,95.583038,97.345757,98.415047,96.65213,96.402863,96.472809,98.531151,95.834076,87.364349
"TSUHET06.5",96.747597,94.637352,96.008736,95.714607,96.803886,99.156364,96.167984,97.731621,98.632042,97.069939,96.895508,96.969841,98.668365,96.315186,88.889595
"TSUHET07",96.657875,94.180702,95.934631,95.486023,96.675797,99.011719,96.117249,97.563004,98.350044,97.017487,96.799538,96.764267,98.560364,96.334824,88.762299
"TSUHET07.1",96.424484,93.832031,95.6688,95.134277,96.448227,98.981041,95.834892,97.405708,98.293442,96.814499,96.568352,96.551514,98.497147,96.06691,87.995468
"TSUHET07.2",96.173676,93.562569,95.405418,94.897911,96.217827,98.976364,95.493607,97.270409,98.307144,96.596756,96.349777,96.409103,98.444855,95.737846,86.974495
"TSUHET08",97.489487,95.692574,96.892715,96.763405,97.52066,99.249702,97.073883,98.216866,98.776123,97.732666,97.617172,97.603348,98.845299,97.151665,91.377663
"TSUHET08.1",96.85231,94.647934,96.150452,95.838348,96.889038,99.110985,96.320084,97.755241,98.537872,97.174271,96.996651,97.008995,98.650345,96.482727,89.291359
"TSUHET08.2",96.445732,94.081329,95.702576,95.326744,96.498116,99.061264,95.812836,97.494232,98.460724,96.820496,96.612167,96.687454,98.558739,96.014984,87.882637
"TSUHET09.3",95.088135,91.731903,94.142166,93.21801,95.133362,98.731705,94.221603,96.461311,97.864891,95.655487,95.272934,95.35569,98.170891,94.67337,83.601685
"TSUHET09.4",95.320518,92.092331,94.401863,93.581467,95.360504,98.76519,94.513077,96.623619,97.929092,95.854271,95.503052,95.568222,98.225128,94.931137,84.378059
"TSUHET09.5",95.117599,91.678581,94.151161,93.220688,95.147209,98.691422,94.297134,96.448166,97.793663,95.679626,95.297188,95.334953,98.154839,94.764549,83.802902
"TSUHET11",96.782646,93.940231,96.008789,95.37249,96.735344,98.860184,96.387383,97.498833,98.055557,97.120323,96.891388,96.65625,98.475082,96.680496,89.619385
"TSUHET11.1",97.915581,95.483047,97.292793,96.793915,97.804794,98.984642,97.761658,98.207748,98.259247,98.06266,97.968056,97.550583,98.669983,97.891312,93.50161
"TSUHET11.2",97.067574,94.036057,96.290451,95.40094,96.961884,98.799545,96.80574,97.56115,97.906731,97.35778,97.112503,96.69017,98.43409,97.145744,91.093651
"TSUHET12",94.966942,91.148354,93.936279,92.665932,94.948601,98.57785,94.189529,96.221916,97.558243,95.575348,95.120064,95.006828,98.03653,94.759338,83.697754
"TSUHET12.1",95.680504,91.690025,94.724823,93.574844,95.580292,98.427879,95.203468,96.543808,97.282761,96.174767,95.812569,95.440475,97.99752,95.759605,86.465302
"TSUHET12.2",94.650429,89.919708,93.513443,91.956482,94.545876,98.18541,94.009666,95.758659,96.843918,95.294777,94.799683,94.423584,97.690033,94.7686,83.250168
"TSUHET13",97.015198,94.095428,96.237885,95.503784,96.923409,98.834702,96.713753,97.579071,97.991783,97.30088,97.10067,96.72699,98.399887,96.982132,90.650162
"TSUHET13.1",96.912636,93.333076,96.200272,95.385574,96.757149,98.504059,96.694962,97.324989,97.431175,97.207436,97.049431,96.524597,98.209938,97.083496,90.437569
"TSUHET13.2",96.051399,91.976814,95.212341,94.288162,95.917984,98.314201,95.70076,96.726166,97.115768,96.479904,96.248123,95.787666,97.98069,96.253494,87.589775
"TSUHET14",90.782272,83.782852,89.199821,86.653076,90.729065,97.38414,89.378372,93.0121,95.482269,91.987953,91.126205,90.992676,96.613205,90.72625,70.211349
"TSUHET14.1",92.768059,86.995285,91.492958,89.880066,92.713135,97.737076,91.755722,94.472092,96.14209,93.675392,93.119392,92.953163,97.144218,92.788589,76.452942
"TSUHET14.2",96.050636,92.755707,95.28479,94.569664,96.023994,98.672112,95.490227,96.982491,97.750679,96.516251,96.237114,96.081024,98.258987,95.909706,86.958862
"TSUHET15",93.241684,88.291771,91.913315,90.100334,93.224762,98.183105,92.198517,94.946815,96.874039,94.079529,93.457275,93.376999,97.581604,93.131348,78.34066
"TSUHET15.1",90.057373,82.507339,88.169479,85.198357,89.974426,97.222885,88.63308,92.430313,95.18837,91.326836,90.391808,90.151451,96.396591,90.162491,68.380089
"TSUHET15.2",86.213341,75.631065,83.703621,79.435112,86.057785,96.073746,84.33136,89.412071,93.200005,88.016579,86.741928,86.320053,94.924026,86.603745,56.254517
"TSUHET16",95.585472,91.725876,94.641914,93.532333,95.513275,98.488304,95.04538,96.539696,97.392624,96.098518,95.727745,95.431015,98.031418,95.580048,86.014542
"TSUHET16.1",95.136566,90.461601,94.18177,93.095673,95.012825,98.083672,94.655304,96.056305,96.728477,95.696434,95.400261,94.994171,97.72802,95.407974,84.612328
"TSUHET16.2",94.050705,88.98439,92.889565,91.387329,93.963997,98.022865,93.313385,95.349304,96.59594,94.781166,94.298195,93.995689,97.535835,94.2062,81.09938
"TSUHET17",94.040695,90.178398,92.848465,91.746025,94.108727,98.552605,92.988121,95.755646,97.595512,94.701851,94.275963,94.440651,97.891319,93.561722,80.111099
"TSUHET17.1",97.639847,95.886505,97.056595,96.979172,97.664345,99.254128,97.252632,98.314102,98.784981,97.856056,97.77755,97.730568,98.835617,97.268181,91.70179
"TSUHET17.2",94.327629,90.143608,93.162743,91.939026,94.334625,98.406212,93.453285,95.806976,97.281044,94.977577,94.520584,94.476151,97.839394,94.048958,81.410324
"TSUHET18",97.948746,96.517715,97.399467,97.502998,97.98204,99.359032,97.598572,98.581177,98.984383,98.113838,98.087212,98.060104,98.908531,97.513603,92.616211
"TSUHET18.1",96.774933,93.245796,95.953217,95.094994,96.633446,98.553558,96.527328,97.274223,97.505089,97.07843,96.87674,96.369881,98.194061,96.864418,89.975052
"TSUHET18.2",97.443626,95.91481,96.810677,96.877182,97.512459,99.332268,96.95726,98.293198,98.969383,97.653503,97.601448,97.693565,98.789864,96.877625,90.809891
