"","R1_SG1","R10_SG1","R11_SG1","R12_SG1","R13_SG1","R14_SG1","R15_SG1","R2_SG1","R3_SG1","R4_SG1","R5_SG1","R6_SG1","R7_SG1","R8_SG1","R9_SG1"
"BETPAP01",95.365807,92.242722,94.472961,93.873276,95.423752,98.769798,94.564194,96.701927,97.957909,95.879959,95.58046,95.699287,98.250443,94.967743,84.386124
"BETPAP01.1",95.364456,92.147827,94.390747,93.743759,95.408173,98.734657,94.623245,96.674149,97.888504,95.861176,95.554054,95.615265,98.244865,95.047523,84.659462
"BETPAP01.2",85.52536,75.749962,83.08831,79.071304,85.551498,96.449989,83.130363,89.384949,93.897499,87.388756,86.01358,86.251831,95.429848,85.282875,53.089771
"LONSOF01.10",95.361763,91.964165,94.558678,93.545784,95.426567,98.72686,94.25956,96.629524,97.840126,95.910812,95.52887,95.632019,97.894455,94.152245,82.298462
"LONSOF01.11",99.486359,97.784256,99.040993,98.114021,99.027969,99.254456,98.400887,99.110924,98.746452,98.568222,99.502289,99.069008,98.127701,96.856941,91.322731
"LONSOF01.9",93.604156,89.232964,92.427452,90.96106,93.641899,98.391678,92.481773,95.351112,97.261383,94.376038,93.812965,93.927101,97.775368,93.20092,78.928764
"THUPLI01.3",93.999527,89.938019,92.905205,91.57827,94.04451,98.503761,92.92762,95.659203,97.457878,94.722572,94.203339,94.328819,97.899757,93.578796,80.160469
"THUPLI01.4",94.613663,90.980927,93.586334,92.498886,94.659904,98.645706,93.664192,96.118904,97.715828,95.241394,94.80278,94.913376,98.078415,94.214348,82.174408
"THUPLI01.5",94.409477,90.618866,93.364059,92.191383,94.455231,98.591637,93.420967,95.962723,97.615898,95.070511,94.605537,94.713577,97.996323,93.986496,81.468987
"THUPLI02.3",97.01033,94.759766,96.256828,95.919258,97.02018,99.089668,96.583557,97.817123,98.490349,97.302582,97.131569,97.056801,98.698166,96.786552,90.140877
"THUPLI02.4",96.671249,94.133675,95.866524,95.450943,96.677086,98.976395,96.202179,97.555031,98.292252,97.007797,96.804367,96.729027,98.590141,96.4701,89.065826
"THUPLI02.5",94.352654,89.976242,93.168343,91.849602,94.328522,98.32711,93.55706,95.746521,97.129623,95.017479,94.531311,94.397469,97.840599,94.274635,81.91404
"THUPLI03.1",97.261368,93.937073,96.507492,95.620644,97.096657,98.634117,97.114876,97.575012,97.629417,97.484894,97.314011,96.74057,98.314415,97.430519,91.86702
"THUPLI03.2",96.719757,93.24334,95.904022,95.002434,96.590515,98.590691,96.453934,97.252159,97.564789,97.051003,96.814606,96.347,98.248589,96.852516,89.912865
"THUPLI03.3",96.935204,94.445511,96.18074,95.677605,96.916962,99.006767,96.519325,97.693932,98.325562,97.248466,97.047035,96.892525,98.589874,96.737289,89.968887
"THUPLI04.3",97.989632,96.541313,97.43103,97.563782,98.009094,99.348984,97.658905,98.598175,98.966187,98.134804,98.125252,98.079453,98.880882,97.534203,92.716637
"THUPLI04.4",98.469604,97.077522,97.969444,98.04686,98.433891,99.36763,98.264984,98.846588,98.97406,98.546379,98.570381,98.386215,98.96756,98.133736,94.549957
"THUPLI04.5",98.829216,97.5158,98.415993,98.456161,98.746002,99.391319,98.652641,99.040466,99.007256,98.840988,98.919357,98.661926,99.005028,98.458458,95.594154
"THUPLI05",95.383652,91.080666,94.327652,93.315941,95.28157,98.255341,94.918655,96.324486,97.013847,95.879456,95.567078,95.183311,97.852654,95.485802,85.347542
"THUPLI05.1",96.216736,92.518959,95.361656,94.55407,96.115479,98.484764,95.819649,96.943459,97.413933,96.613411,96.381142,96.004753,98.098572,96.214363,87.742905
"THUPLI05.2",95.00119,90.200119,93.931839,92.590965,94.86821,98.087608,94.462669,95.944618,96.697853,95.56414,95.195107,94.731781,97.616104,95.106483,84.029144
"THUPLI06.3",95.758171,92.315445,94.822258,93.983253,95.726952,98.647812,95.165421,96.785271,97.700912,96.223305,95.919685,95.743942,98.124725,95.517731,86.019783
"THUPLI06.4",96.232124,93.746857,95.408653,95.070786,96.282631,99.002892,95.558495,97.367355,98.366554,96.586761,96.407585,96.474144,98.24865,95.505585,86.823586
"THUPLI06.5",97.46077,96.024559,96.911522,97.016487,97.544235,99.364822,96.928513,98.329483,99.025734,97.689789,97.638779,97.783195,98.803886,96.837715,90.675827
"TSUHET01.3",97.198364,95.197662,96.506767,96.21608,97.226624,99.192474,96.76696,97.990456,98.670815,97.475395,97.315079,97.281265,98.814301,96.958038,90.737068
"TSUHET01.4",97.200447,95.082275,96.505684,96.190758,97.214684,99.14183,96.794144,97.958,98.572365,97.479057,97.312096,97.238678,98.7752,96.991814,90.788849
"TSUHET01.5",96.797264,94.243286,96.027397,95.469604,96.788734,98.990112,96.363708,97.59845,98.290276,97.137222,96.9049,96.772827,98.625549,96.680977,89.717392
"TSUHET02.3",96.408844,93.615326,95.554504,94.878006,96.404083,98.912308,95.902931,97.323441,98.153885,96.792641,96.522408,96.402817,98.498741,96.24295,88.393501
"TSUHET02.4",97.30471,95.175911,96.60157,96.285088,97.302216,99.132858,96.941902,98.00724,98.553482,97.561989,97.408249,97.292465,98.760628,97.111481,91.184364
"TSUHET02.5",97.0019,94.68998,96.24501,95.828072,97.001556,99.076439,96.585838,97.78717,98.457024,97.302643,97.111351,97.008987,98.696686,96.816589,90.232239
"TSUHET03.6",97.566872,95.885803,96.909584,96.839401,97.603584,99.289856,97.181847,98.296379,98.860039,97.772514,97.684036,97.673271,98.894989,97.248947,91.729073
"TSUHET03.7",97.434708,95.471901,96.731621,96.511818,97.446289,99.189903,97.08107,98.135155,98.659698,97.662193,97.535873,97.442398,98.804817,97.186516,91.500511
"TSUHET03.8",97.404671,95.584518,96.748543,96.589516,97.432716,99.247452,96.987801,98.162437,98.779785,97.646492,97.528343,97.508194,98.824692,97.070679,91.185417
"TSUHET04.3",96.681084,94.440628,95.926605,95.523735,96.723015,99.117531,96.118439,97.646973,98.551376,97.021576,96.817757,96.848709,98.651802,96.32592,88.879028
"TSUHET04.4",96.973251,94.876915,96.258186,95.915047,97.00898,99.165276,96.463966,97.845924,98.627609,97.277237,97.097809,97.10041,98.72039,96.61702,89.782463
"TSUHET04.5",95.358757,92.142372,94.411522,93.414322,95.387787,98.807144,94.570381,96.628593,97.981339,95.899635,95.507889,95.532158,98.281456,95.034523,84.794411
"TSUHET05.3",96.943649,94.998528,96.232666,96.000511,97.001442,99.214989,96.408264,97.880852,98.739441,97.242256,97.08651,97.162033,98.771515,96.567596,89.647324
"TSUHET05.4",97.12104,95.297127,96.436821,96.299362,97.180725,99.248199,96.611908,98.019035,98.79985,97.389839,97.263985,97.341934,98.802238,96.725021,90.15358
