"","R1_PL1","R10_PL1","R11_PL1","R12_PL1","R13_PL1","R14_PL1","R15_PL1","R2_PL1","R3_PL1","R4_PL1","R5_PL1","R6_PL1","R7_PL1","R8_PL1","R9_PL1"
"PICGLA04.3",99.692932,99.293182,99.428894,98.764412,99.511902,99.815575,99.670883,99.555702,99.649734,99.717468,99.692451,99.446861,99.450172,99.401878,98.755669
"PINCON02.3",98.724495,98.182014,98.295166,98.964592,98.790024,99.630486,98.417397,99.282913,99.482635,98.73764,98.882843,98.996811,99.083611,97.983871,94.360428
"PINCON02.4",99.485825,98.914734,99.368164,98.341507,99.302284,99.832253,99.40905,99.383446,99.653542,99.612579,99.434761,99.277435,99.546471,99.739365,99.661667
"PINCON02.5",98.115211,97.111526,97.600609,98.07576,98.19043,99.491905,97.709923,98.825653,99.250389,98.213249,98.271263,98.415482,98.95092,97.400543,92.478134
"PINCON03",99.559402,99.027733,99.40937,98.439926,99.367233,99.832657,99.510612,99.432228,99.656853,99.668335,99.514015,99.323799,99.503555,99.620087,99.402069
"PINCON03.1",99.181908,98.426422,99.081459,97.886795,99.019974,99.817169,99.059059,99.165199,99.589096,99.363625,99.124107,99.010208,99.618462,99.760307,98.911171
"PINCON03.2",99.280373,98.604172,99.183098,98.04528,99.111435,99.835304,99.167183,99.239876,99.632874,99.440964,99.224899,99.104553,99.595032,99.805367,99.222092
"PINCON06",99.271591,98.62458,99.184181,98.06012,99.110268,99.84774,99.142723,99.245094,99.658592,99.428581,99.219894,99.113075,99.608932,99.788635,99.153145
"PINCON06.1",99.222336,98.83474,98.83287,99.311836,99.226952,99.700249,99.036354,99.548302,99.581497,99.183418,99.348724,99.334747,99.257568,98.609337,96.233215
"PINCON06.2",98.632874,97.978256,98.177292,98.794563,98.695381,99.603249,98.327599,99.201668,99.436951,98.660538,98.779404,98.888008,99.093445,97.944199,94.182526
"PINCON09",97.501015,96.050438,96.829948,97.112869,97.575485,99.345169,97.017509,98.371025,98.997421,97.656013,97.651352,97.803833,98.790382,96.797867,90.603134
"PINCON09.1",99.293877,98.711945,99.232613,98.16716,99.149361,99.866905,99.140175,99.286873,99.704132,99.447006,99.255249,99.176796,99.653442,99.755669,99.042938
"PINCON09.2",99.333199,98.772202,99.259567,98.228073,99.182137,99.870705,99.202202,99.313377,99.714699,99.477295,99.292938,99.204117,99.638435,99.795319,99.240654
"PINCON12",99.705193,99.362511,99.492531,98.816315,99.516571,99.847786,99.61792,99.584724,99.746979,99.731911,99.702209,99.508339,99.512115,99.514473,99.02845
"PINCON12.1",99.443291,98.950729,99.366737,98.398537,99.285736,99.871384,99.322777,99.390015,99.734795,99.569412,99.407021,99.297424,99.609146,99.802032,99.559067
"PINCON12.2",99.413681,98.870934,99.324081,98.288925,99.246017,99.861702,99.291496,99.352333,99.703781,99.548698,99.367653,99.24437,99.588127,99.800568,99.531075
