"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",81.9652038333334,2.15637861410881,38.010580932796,1.19503983075097e-92
"SitePSPST",-5.95318480376741,0.790680186083317,-7.52919436777197,1.79278244558403e-12
"specieslatbiACEMAC",6.19663348443899,2.30491167585654,2.68844726214345,0.00779326424357794
"specieslatbiALNRUB",10.3049331077532,2.29133134538992,4.49735614558163,1.17375175777445e-05
"specieslatbiPOPTRI",11.8524715107562,2.48540955722243,4.76882028409109,3.59791207735517e-06
"specieslatbiTHUPLI",11.8600043299754,2.37438344172023,4.99498274860899,1.29350799268709e-06
"specieslatbiTSUHET",12.029927735217,3.07509857467006,3.91204621351293,0.000125938142235535
