"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",85.3334703333333,1.8473355152421,46.1927298150548,1.20058346790016e-107
"SitePSPST",-5.48158171243242,0.67736323268704,-8.09252916000101,5.91242466412595e-14
"specieslatbiACEMAC",5.20022318198197,1.97458144430063,2.63358252301607,0.00911973469176641
"specieslatbiALNRUB",8.68356790169665,1.96294738958706,4.42373949895997,1.60336096634347e-05
"specieslatbiPOPTRI",9.79799485549543,2.12921112968683,4.60170187863735,7.49512927128066e-06
"specieslatbiTHUPLI",9.96803786003,2.03409680934223,4.90047367177837,1.99164952626851e-06
"specieslatbiTSUHET",9.90713385621618,2.63438840131797,3.76069597454184,0.000223335176790256
