"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",80.2433923333334,2.48984403178931,32.2282806910065,1.75491723674059e-80
"SitePSPST",-7.06889124435708,0.912952080628579,-7.74289406240256,4.98554021668151e-13
"specieslatbiACEMAC",7.15592960229319,2.66134645483148,2.68883804635887,0.00778447602353762
"specieslatbiALNRUB",11.842557711986,2.64566604298692,4.47621034536013,1.28425960523889e-05
"specieslatbiPOPTRI",13.5024868468359,2.86975678209454,4.70509798289626,4.77037848355135e-06
"specieslatbiTHUPLI",13.6279606980972,2.74156143214662,4.97087555226752,1.44485224911106e-06
"specieslatbiTSUHET",13.5692587888452,3.55063613746251,3.82164160547933,0.000177690817095351
