"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",95.3720905000001,0.625877771692514,152.381335164041,2.30110333443356e-206
"SitePSPST",-2.19600620727273,0.229490846250007,-9.56903616486909,4.67242627846156e-18
"specieslatbiACEMAC",0.892986275757578,0.668988726837909,1.33483007999019,0.18347255527683
"specieslatbiALNRUB",1.96958513479797,0.665047105957566,2.96157237157219,0.00343705810837028
"specieslatbiPOPTRI",2.33257268424243,0.721377306025888,3.23349884277996,0.00143381468632939
"specieslatbiTHUPLI",2.30790750979798,0.68915254859436,3.34890658752599,0.000972063329401473
"specieslatbiTSUHET",2.52755093696969,0.892531502147519,2.83188988947522,0.00510798075350971
