"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",83.7129026666667,2.14705838038624,38.9895791522946,1.43125550228397e-94
"SitePSPST",-6.62648694568385,0.78726273235516,-8.41712261148217,7.85212362291431e-15
"specieslatbiACEMAC",5.79839539246519,2.29494945707533,2.52658958330814,0.0123040236546862
"specieslatbiALNRUB",9.79523035720444,2.28142782309789,4.29346493368516,2.75855744417204e-05
"specieslatbiPOPTRI",11.2267331369041,2.47466719601644,4.53666382088719,9.92153230304013e-06
"specieslatbiTHUPLI",11.3206730238711,2.36412095419645,4.78853376929648,3.29543007055648e-06
"specieslatbiTSUHET",11.1793429728419,3.06180747762043,3.65122335566646,0.000334391809590248
