"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",97.9646965848625,0.508644817002996,192.599419693458,2.14866227250335e-262
"SitePSPSPT",-0.918005584862458,0.309123200221887,-2.96970781941801,0.00328709136835942
"SitePSPST",-2.25896186505901,0.181350673881965,-12.4563191120497,9.88576547207177e-28
"specieslatbiACEGLA",-1.07126758486247,0.709551369026162,-1.50978157696003,0.132431200587262
"specieslatbiACEMAC",-0.367812743603335,0.523594275623631,-0.702476632627904,0.483071344477705
"specieslatbiALNRUB",0.495123810543346,0.504565076658549,0.981288308382881,0.327451237847981
"specieslatbiPOPTRI",0.805235739634428,0.553406173011116,1.45505377226476,0.146977581854882
"specieslatbiTHUPLI",0.853422869137566,0.500323252192076,1.7057429679681,0.0893660602097046
"specieslatbiTSUHET",0.789722628583425,0.479249584855146,1.64783163833542,0.100712308598014
