"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",92.1134252960455,0.93742280587111,98.2624112824396,5.43851020185347e-259
"siteMF1",1.6678050318515,0.436134400960843,3.82406209686091,0.000155094985134951
"sitePL1",1.25163131137894,0.445444264671448,2.8098494259481,0.00523186679625213
"siteSF1",1.75550647701278,0.636218110125816,2.75928403965995,0.00609393084460511
"siteSG1",-1.34082462937889,0.308279419077325,-4.34938093951245,1.78768518640421e-05
"siteSG2",0.404957646274179,0.350477722211768,1.155444756142,0.248687618064439
"specieslatbiLONSOF",5.37524430885585,0.947922728604502,5.67055113951017,2.95864484864056e-08
"specieslatbiPICGLA",5.33476736939193,0.995579163138971,5.35845623021266,1.51569614079113e-07
"specieslatbiPINCON",5.49462088773223,1.03559511048624,5.30576171333251,1.9828039629862e-07
"specieslatbiTHUPLI",4.95232796892768,0.92571941242754,5.34970737617033,1.5850594536228e-07
"specieslatbiTSUHET",4.41753250260258,0.906463587435854,4.87337005460817,1.65862713017318e-06
"specieslatbiTWOSTO",5.4965592269417,1.10397064342713,4.9788998101239,1.00091825097658e-06
