"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",92.1061909606505,0.942315481637054,97.7445375307189,3.30433774513827e-258
"siteMF1",1.65093409592668,0.438410710221629,3.76572482705107,0.000194399238411681
"sitePL1",1.24957969470802,0.447769164754086,2.79067830719046,0.00554476058711272
"siteSF1",1.69233104239613,0.639538713070156,2.64617451267642,0.00850410466677463
"siteSG1",-1.45551829398382,0.309888416888571,-4.69691093522607,3.7849276730659e-06
"siteSG2",0.390904495661985,0.352306964947521,1.1095565360742,0.267943334402833
"specieslatbiLONSOF",5.24902004544005,0.952870206448207,5.50864116636158,6.96812646290947e-08
"specieslatbiPICGLA",5.17010920722058,1.00077537344457,5.1661035477178,3.99996740978044e-07
"specieslatbiPINCON",5.43164752002827,1.0410001753819,5.21772008158945,3.09147613844797e-07
"specieslatbiTHUPLI",4.77364588196339,0.930551004860412,5.12991319877138,4.78606621367401e-07
"specieslatbiTSUHET",4.28330464683012,0.911194678251205,4.7007568734387,3.7184502464415e-06
"specieslatbiTWOSTO",5.38205133028674,1.10973257964159,4.84986331754357,1.85393433269978e-06
