"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",93.4744688106838,0.797068465873476,117.272822615368,2.27365202301285e-285
"siteMF1",1.28167126076394,0.370834777766548,3.45617870169337,0.000614503164833963
"sitePL1",0.908053083974673,0.37875073494065,2.39749523949297,0.0170251446805846
"siteSF1",1.23808440278237,0.540961228831711,2.28867493046813,0.0226868032567091
"siteSG1",-1.34666114401711,0.262122707155596,-5.13752188290095,4.60927393158398e-07
"siteSG2",0.267131930546939,0.298002927405389,0.896407068456563,0.370644563240068
"specieslatbiLONSOF",4.5156065860921,0.805996302120342,5.60251526491232,4.25056491399887e-08
"specieslatbiPICGLA",4.42059383477201,0.846517442555037,5.22209420922192,3.02442865978902e-07
"specieslatbiPINCON",4.59155171498918,0.880542057235624,5.21446043066235,3.14237559395486e-07
"specieslatbiTHUPLI",4.10493816069338,0.787117346912901,5.21515397518944,3.13147830101799e-07
"specieslatbiTSUHET",3.68107467351453,0.770744573827879,4.77599816918928,2.62291640279892e-06
"specieslatbiTWOSTO",4.59771728653387,0.938680157571079,4.8980659167558,1.4748749246738e-06
