"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",97.5530674605972,0.350832726518442,278.061480833571,0
"siteMF1",0.511861554251297,0.163224342377071,3.13593883606421,0.00185643429549239
"sitePL1",0.373288935171237,0.166708581131078,2.23917048923673,0.025765456702059
"siteSF1",0.310198259339184,0.238106148941441,1.30277298893055,0.193499099221223
"siteSG1",-0.971763460597274,0.115374309700003,-8.42270227335755,9.31536600174255e-16
"siteSG2",-0.0751720951595744,0.131167125546158,-0.573101643011312,0.566939728815098
"specieslatbiLONSOF",1.58000108480397,0.354762347707214,4.4536887722593,1.1333027512588e-05
"specieslatbiPICGLA",1.5151554327484,0.372597882280473,4.06646281367717,5.8865701375955e-05
"specieslatbiPINCON",1.61045150143513,0.387573946255163,4.15521093973347,4.07908216399151e-05
"specieslatbiTHUPLI",1.35698267454207,0.346452703538832,3.91679054797728,0.000107681786838555
"specieslatbiTSUHET",1.2759644628202,0.339246164994128,3.76117579057168,0.000197830032176424
"specieslatbiTWOSTO",1.69156628006355,0.413163652947346,4.09417979533433,5.2530636064692e-05
