,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),8.288365987,16.08688426,0.515225065,0.60687598
SitePSPSPT,-6.991299345,9.776624038,-0.715103631,0.475248853
SitePSPST,-4.82976143,5.735568719,-0.842071931,0.40059661
specieslatbiACEGLA,-6.634549682,22.44094576,-0.295644834,0.767760192
specieslatbiACEMAC,-3.815096506,16.55969004,-0.230384536,0.817991714
specieslatbiALNRUB,4.117521513,15.95785452,0.258024756,0.796611718
specieslatbiPOPTRI,-3.404729941,17.50254944,-0.194527657,0.845929386
specieslatbiTHUPLI,-0.77119281,15.82369855,-0.048736571,0.961170277
specieslatbiTSUHET,-1.170210972,15.15720272,-0.077204943,0.938525647
