"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",91.3785730883575,1.876708637399,48.6908682932277,2.05958519149561e-125
"SitePSPSPT",-2.46632842169092,1.14054869033182,-2.16240520251124,0.0315879226270807
"SitePSPST",-5.4837885621846,0.669115981713439,-8.19557253458809,1.56573669292781e-14
"specieslatbiACEGLA",-6.04510275502427,2.61797847617081,-2.3090727483238,0.0218005320154676
"specieslatbiACEMAC",-0.84371807317271,1.93186653379337,-0.436737247844966,0.662699544188122
"specieslatbiALNRUB",2.5830085929488,1.86165592539481,1.38747904900902,0.166598961997431
"specieslatbiPOPTRI",3.75485374469537,2.04186125595332,1.83893677092289,0.0671755747908264
"specieslatbiTHUPLI",4.07053870277785,1.84600518376047,2.20505269356059,0.0284114394203696
"specieslatbiTSUHET",3.66616350651701,1.76825125372749,2.07332724848276,0.0392225685764229
