"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",91.1210843781681,1.17261873341414,77.7073415097715,1.62225391661188e-224
"siteMF1",1.44074271720986,0.545558914984788,2.64085633583686,0.00863607465076507
"sitePL1",0.786937951300983,0.557204589193068,1.41229624910414,0.158741226659159
"siteSF1",0.87760259066604,0.795842889460753,1.10273346949256,0.27089203070601
"siteSG1",-2.22497137816813,0.385625589298713,-5.76977109380733,1.73367811898074e-08
"siteSG2",0.290831381557847,0.438411291186725,0.663375664368959,0.507521741091441
"specieslatbiLONSOF",6.54361309118231,1.1857530480686,5.51852942890665,6.61664476326076e-08
"specieslatbiPICGLA",6.28811933818068,1.24536630641141,5.0492126740607,7.11477442276472e-07
"specieslatbiPINCON",6.44829159860053,1.29542210748734,4.97775324454508,1.00647284202275e-06
"specieslatbiTHUPLI",5.83379464416514,1.15797900168317,5.03791056287332,7.51797794697102e-07
"specieslatbiTSUHET",5.20310259081328,1.13389196115975,4.58871106687407,6.20114455454568e-06
"specieslatbiTWOSTO",6.60645964227697,1.38095280967583,4.78398653160913,2.52683870140342e-06
