"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",95.4123455898466,0.590966617128804,161.451328762706,0
"siteMF1",0.880658050946826,0.274946235503433,3.20301912602775,0.00148330592162995
"sitePL1",0.582344649002035,0.280815325340514,2.07376377445173,0.0388238914645825
"siteSF1",0.745274569054613,0.401082267192921,1.8581588616984,0.0639764150454675
"siteSG1",-1.15867058984658,0.19434437084477,-5.96194571939545,6.03304009418074e-09
"siteSG2",0.165406140065893,0.220946868987285,0.748624050768568,0.454580932553004
"specieslatbiLONSOF",3.24106899359704,0.597585939572213,5.42360316562533,1.08421770773884e-07
"specieslatbiPICGLA",3.13577177859751,0.627629332718686,4.99621610260687,9.20546963597856e-07
"specieslatbiPINCON",3.24796641531779,0.65285603819983,4.97501167986998,1.01987555245592e-06
"specieslatbiTHUPLI",2.90733348172517,0.58358860713272,4.98182014897351,9.86904059434746e-07
"specieslatbiTSUHET",2.61986614408145,0.571449421181524,4.58459847358781,6.31744876151239e-06
"specieslatbiTWOSTO",3.30125664665438,0.695961088709999,4.74345002933057,3.05205786388714e-06
