"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.209045077216228,1.38906963537314,0.150492870834422,0.880461487526422
"siteMF1",1.12034554631577,0.646262337039472,1.73357703536937,0.0838638483126856
"sitePL1",3.61142704194685,0.660057658541006,5.47138116680527,8.46314123007401e-08
"siteSF1",9.51387948202214,0.942745634856858,10.0916717407731,3.25012741026169e-21
"siteSG1",0.0427049227837638,0.456807299298479,0.0934856401142143,0.925570644168468
"siteSG2",1.08166347670676,0.519336588303622,2.08277926313635,0.0379887412532176
"specieslatbiLONSOF",-0.620325089477465,1.40462838191885,-0.441629328769537,0.6590270965253
"specieslatbiPICGLA",-0.434309866959527,1.47524550977981,-0.294398365614649,0.768626069791777
"specieslatbiPINCON",0.357677685959361,1.53454099207729,0.233084477903179,0.815830520562177
"specieslatbiTHUPLI",0.0115393531366803,1.37172759039464,0.00841227749407627,0.993292791449269
"specieslatbiTSUHET",-0.0832381193731017,1.34319438037192,-0.0619702707139481,0.950621480315387
"specieslatbiTWOSTO",-1.56404078146059,1.63585960307736,-0.956097197166758,0.33967558778167
