"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",94.0028004025545,0.767454977846595,122.486403914295,6.75957207290937e-292
"siteMF1",1.19955210712005,0.357057151726222,3.35955210901313,0.000865719990001611
"sitePL1",0.819856528734824,0.36467900731052,2.24815937385923,0.0251808658683324
"siteSF1",1.02880138520097,0.52086289404756,1.97518655476931,0.049023474855941
"siteSG1",-1.48067273588785,0.252384061126714,-5.8667442360572,1.02114694970205e-08
"siteSG2",0.218751437567686,0.286931223404373,0.762382828094657,0.446339224479939
"specieslatbiLONSOF",4.16896145720753,0.776051118156258,5.37201913594577,1.41395606698366e-07
"specieslatbiPICGLA",4.03828649663292,0.815066776491892,4.95454680905288,1.12551792619211e-06
"specieslatbiPINCON",4.21204765892167,0.847827274521774,4.96804925425113,1.0546927901415e-06
"specieslatbiTHUPLI",3.72053239735763,0.757873572850139,4.90917288930633,1.39879255216906e-06
"specieslatbiTSUHET",3.35855459756742,0.742109097471625,4.52568848570925,8.23176190511603e-06
"specieslatbiTWOSTO",4.26775482335564,0.903805369773722,4.72198436309813,3.37128041041528e-06
