"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",88.4478092393638,3.38978404729312,26.0924613501538,1.25732526248966e-71
"SitePSPSPT",-5.77278446158603,2.06010335254076,-2.80218196551468,0.00549549312596108
"SitePSPST",-10.7595938672342,1.20858328000484,-8.90264994166654,1.4528701161553e-16
"specieslatbiACEGLA",-12.4537599060305,4.72869442695159,-2.63365715387513,0.00900307707223769
"specieslatbiACEMAC",-2.450789502223,3.48941238253594,-0.702350205005544,0.483150021259706
"specieslatbiALNRUB",4.12570717337147,3.36259525410303,1.2269413538062,0.221062072338049
"specieslatbiPOPTRI",6.64927486484436,3.6880891227789,1.80290514775691,0.0726733388420634
"specieslatbiTHUPLI",6.45158821321823,3.33432627656269,1.93490009018226,0.0541925653226493
"specieslatbiTSUHET",6.13329096522998,3.19388410755055,1.92032358053647,0.0560172005391119
