"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",98.5041397530914,0.20077121499425,490.62879733986,0
"siteMF1",0.336301538593206,0.0934084737786263,3.60033222885351,0.000363162279497965
"sitePL1",0.271017018225057,0.0954024007845646,2.84077775817258,0.00476071278345937
"siteSF1",0.26590720788925,0.136261121631884,1.95145324436423,0.0517915114249491
"siteSG1",-0.519325086424717,0.0660253123118343,-7.86554532255706,4.49606927898212e-14
"siteSG2",-0.0230297274449944,0.0750630747152409,-0.306805010750758,0.759172179936645
"specieslatbiLONSOF",0.9139898042737,0.203020021222694,4.50196881454926,9.15032106415861e-06
"specieslatbiPICGLA",0.88909122698274,0.213226771265316,4.16969793101849,3.83965934131356e-05
"specieslatbiPINCON",0.952228066276233,0.221797130678101,4.29323888620644,2.27640666936726e-05
"specieslatbiTHUPLI",0.794401324817433,0.198264657113958,4.00677224262329,7.50626582997207e-05
"specieslatbiTSUHET",0.748583583146368,0.19414056779686,3.85588438130898,0.000136952134099928
"specieslatbiTWOSTO",0.985977094574928,0.236441364569621,4.17007022595068,3.83368669238787e-05
