"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",80.5275320000001,2.49628363294332,32.2589672652909,1.49878071876241e-80
"SitePSPST",-7.61883202139231,0.915313291691165,-8.3237423629187,1.40874886010747e-14
"specieslatbiACEMAC",6.91457588845209,2.66822962079808,2.59144709081818,0.0102727461241408
"specieslatbiALNRUB",11.6176385124788,2.65250865396416,4.37986827870148,1.92739334114225e-05
"specieslatbiPOPTRI",13.2110651671635,2.87717896952868,4.59167306138334,7.8278595857588e-06
"specieslatbiTHUPLI",13.3096360402566,2.74865206189565,4.84224112057218,2.59080562785965e-06
"specieslatbiTSUHET",13.2517178440294,3.55981931531476,3.72258158918881,0.000257297872201092
