"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",79.0356245555555,2.73775462488035,28.8687758345069,1.86241096394357e-27
"specieslatbiALNRUB",3.22865294444443,4.3287701446409,0.745859178603319,0.460341732568896
"specieslatbiTHUPLI",8.72657833333331,3.87176972095546,2.25389911132933,0.0300513405197074
"specieslatbiTSUHET",6.70071866666667,3.35305093595082,1.99839453520457,0.0528661009088701
