"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.7848434108577,18.7985347678813,0.148141514498025,0.882315432121868
"siteMF1",15.2062821467727,8.74598702803349,1.7386582095345,0.0829643020359946
"sitePL1",48.0387790089607,8.93268165030204,5.37786757544823,1.372161025276e-07
"siteSF1",125.362623631943,12.7583500083956,9.82592761206968,2.62136978569043e-20
"siteSG1",0.391109922475554,6.18205716934962,0.0632653357550073,0.949590925553958
"siteSG2",16.216912127664,7.02827753400277,2.30738072724173,0.0216099655943035
"specieslatbiLONSOF",-9.29757240004456,19.0090941454935,-0.489111807689623,0.625065443167748
"specieslatbiPICGLA",-6.45823398383093,19.964768720401,-0.323481532607567,0.746521602003869
"specieslatbiPINCON",3.40182425864228,20.7672253843161,0.163807354891588,0.869976283195091
"specieslatbiTHUPLI",0.335865241205178,18.5638416847034,0.0180924426586729,0.985575299594895
"specieslatbiTSUHET",-1.18360964983461,18.1776965073903,-0.06511329140925,0.948120552236116
"specieslatbiTWOSTO",-22.0793761261343,22.1383887752765,-0.997334374703543,0.319283461620981
