"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",91.6812799786348,2.12981225546619,43.046648709685,5.12874540589182e-114
"SitePSPSPT",-3.44030197863484,1.29436958418398,-2.65789772926698,0.00839812570570556
"SitePSPST",-6.99794494725518,0.759356774825024,-9.21562193063688,1.72523058771995e-17
"specieslatbiACEGLA",-6.90755097863487,2.97105396755832,-2.32494968252348,0.0209201979008493
"specieslatbiACEMAC",-1.2733968660444,2.19240905999162,-0.580820837352893,0.561913105743734
"specieslatbiALNRUB",2.6292037733719,2.11272944896887,1.24445833547457,0.214560186532869
"specieslatbiPOPTRI",4.26891897448086,2.31723829699963,1.84224426983114,0.0666886491083661
"specieslatbiTHUPLI",4.20899257025564,2.09496795915863,2.00909639302838,0.0456610000138748
"specieslatbiTSUHET",3.88979512374818,2.00672769117307,1.93837716041798,0.0537647682615218
