"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",93.6536972283398,0.7885448760408,118.767745595615,2.86718902932959e-287
"siteMF1",1.31352244656543,0.366869191776504,3.58035636681542,0.00039102737625469
"sitePL1",0.914387505010568,0.374700498290125,2.44031568995292,0.0151642708737193
"siteSF1",1.30983254843629,0.535176366141291,2.4474783105248,0.014871211657078
"siteSG1",-1.27099922833984,0.259319652540737,-4.90128386293504,1.4524303757179e-06
"siteSG2",0.312413476647159,0.294816181434506,1.05968904124268,0.29000857979733
"specieslatbiLONSOF",4.46360195054588,0.797377240922884,5.59785471852659,4.35683657723515e-08
"specieslatbiPICGLA",4.35966818642627,0.837465061516931,5.20579112701065,3.28173272403621e-07
"specieslatbiPINCON",4.52046779262341,0.871125828081367,5.18922484778075,3.56488237586849e-07
"specieslatbiTHUPLI",4.03071821512106,0.778700171096119,5.17621334209714,3.80374059182734e-07
"specieslatbiTSUHET",3.60419004463101,0.762502483098734,4.72679122300551,3.29711629873989e-06
"specieslatbiTWOSTO",4.53962538989056,0.92864221856111,4.88845466979146,1.54392330732418e-06
