"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",89.4629543145207,1.36674070048131,65.4571523940243,7.3572934302288e-200
"siteMF1",2.26746499413344,0.635873837226847,3.56590389694634,0.000412425314108166
"sitePL1",1.62068728969986,0.649447402505529,2.49548659898761,0.0130331015413054
"siteSF1",2.13758402947125,0.927591242762884,2.30444610829262,0.0217758901534273
"siteSG1",-2.74945064785399,0.449464240185817,-6.11717329662825,2.52255757021062e-09
"siteSG2",0.425193693081594,0.510988387053032,0.832100501410154,0.405913183786516
"specieslatbiLONSOF",7.24654469879642,1.38204934420297,5.24333282975184,2.71841903492067e-07
"specieslatbiPICGLA",7.03628939208189,1.45153132000956,4.84749401896169,1.87480790801594e-06
"specieslatbiPINCON",7.31811414299424,1.50987364277501,4.84683879211524,1.88062038204292e-06
"specieslatbiTHUPLI",6.4766872008319,1.34967742438765,4.79869269782769,2.35876305276524e-06
"specieslatbiTSUHET",5.87940302526731,1.32160287833153,4.44869114744197,1.15855549710273e-05
"specieslatbiTWOSTO",7.42418746156369,1.60956358332491,4.61254686579537,5.56653643972216e-06
