"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.64870952468396,19.152270286152,0.138297417753085,0.890084000111267
"siteMF1",15.4790658553926,8.91056188944429,1.73715934499367,0.0832288335345763
"sitePL1",48.5510064748181,9.10076957907591,5.33482427534969,1.71020030409354e-07
"siteSF1",126.365731801672,12.9984262488167,9.7216177853204,5.89873681641032e-20
"siteSG1",0.316495808649288,6.29838608667116,0.0502503029020507,0.959951266785713
"siteSG2",16.8675486263848,7.16052993700858,2.35562853235294,0.0190362398895054
"specieslatbiLONSOF",-9.55191206450622,19.3667917986585,-0.493210861345029,0.622169419148211
"specieslatbiPICGLA",-6.53138794404142,20.3404494794425,-0.321103422549364,0.748321505423715
"specieslatbiPINCON",3.24369547696079,21.1580061193613,0.153308183136999,0.878242599436973
"specieslatbiTHUPLI",0.478215855819325,18.9131609396622,0.02528481925073,0.979842029478112
"specieslatbiTSUHET",-1.05502921982812,18.5197495968681,-0.0569677907527726,0.954602993341246
"specieslatbiTWOSTO",-22.4693875485777,22.5549709463763,-0.99620556381996,0.319830731339969
