,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),82.15351683,0.969787294,84.71292347,1.79E-105
specieslatbiALNRUB,4.331845286,1.269749624,3.41157438,0.000892098
specieslatbiPOPTRI,6.81717175,1.454680941,4.686369056,7.69E-06
specieslatbiTHUPLI,7.950609976,1.511304344,5.260760356,6.72E-07
specieslatbiTSUHET,5.3783795,3.216420581,1.672163004,0.097210881
