"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",86.6493728666666,0.746185237174884,116.123140139743,4.84019058863008e-121
"specieslatbiALNRUB",3.19082570476189,0.976985809089281,3.26598981794453,0.00143779029878445
"specieslatbiPOPTRI",5.10324384166667,1.11927785576233,4.55940749242369,1.28873166669088e-05
"specieslatbiTHUPLI",5.76048075238095,1.16284570521885,4.95377910115495,2.52391891102784e-06
"specieslatbiTSUHET",3.87433246666667,2.47481645581144,1.56550295177197,0.120212688115574
