Species,Site,Variable,Value
ACEMAC,PSPST,545nm,51.596668
ACEMAC,PSPST,546nm,51.662495
ACEMAC,PSPST,547nm,51.738445
ACEMAC,PSPST,548nm,51.803875
ACEMAC,PSPST,549nm,51.807076
ACEMAC,PSPST,550nm,51.77927
ACEMAC,PSPST,551nm,51.699368
ACEMAC,PSPST,552nm,51.571995
ACEMAC,PSPST,553nm,51.412312
ACEMAC,PSPST,554nm,51.231117
ACEMAC,PSPST,555nm,51.044903
ACEMAC,PSPST,556nm,50.853195
ACEMAC,PSPST,557nm,50.64875
ACEMAC,PSPST,558nm,50.409985
ACEMAC,PSPST,559nm,50.146843
ACEMAC,PSPST,560nm,49.859234
ACEMAC,PSPST,561nm,49.559471
ACEMAC,PSPST,562nm,49.255199
ACEMAC,PSPST,563nm,48.965527
ACEMAC,PSPST,564nm,48.665863
ACEMAC,PSPST,565nm,48.322395
ACEMAC,PSPST,566nm,47.988754
ACEMAC,PSPST,567nm,47.668152
ACEMAC,PSPST,568nm,47.356125
ACEMAC,PSPST,569nm,47.048378
ACEMAC,PSPST,570nm,46.739616
ACEMAC,PSPST,571nm,46.439743
ACEMAC,PSPST,572nm,46.192383
ACEMAC,PSPST,573nm,45.947186
ACEMAC,PSPST,574nm,45.705395
ACEMAC,PSPST,575nm,45.530071
ACEMAC,PSPST,576nm,45.393368
ACEMAC,PSPST,577nm,45.271149
ACEMAC,PSPST,578nm,45.142113
ACEMAC,PSPST,579nm,44.951721
ACEMAC,PSPST,580nm,44.764919
ACEMAC,PSPST,581nm,44.584091
ACEMAC,PSPST,582nm,44.342762
ACEMAC,PSPST,583nm,44.065311
ACEMAC,PSPST,584nm,43.712414
ACEMAC,PSPST,585nm,43.344784
ACEMAC,PSPST,586nm,42.948948
ACEMAC,PSPST,587nm,42.562702
ACEMAC,PSPST,588nm,42.191441
ACEMAC,PSPST,589nm,41.834942
ACEMAC,PSPST,590nm,41.486443
ACEMAC,PSPST,591nm,41.238312
ACEMAC,PSPST,592nm,41.02515
ACEMAC,PSPST,593nm,40.932766
ACEMAC,PSPST,594nm,40.902126
ACEMAC,PSPST,595nm,40.951775
ACEMAC,PSPST,596nm,40.973518
ACEMAC,PSPST,597nm,40.983326
ACEMAC,PSPST,598nm,41.021267
ACEMAC,PSPST,599nm,41.049591
ACEMAC,PSPST,600nm,41.044071
ACEMAC,PSPST,601nm,41.028179
ACEMAC,PSPST,602nm,41.002281
ACEMAC,PSPST,603nm,40.933834
ACEMAC,PSPST,604nm,40.853436
ACEMAC,PSPST,605nm,40.771446
ACEMAC,PSPST,606nm,40.664421
ACEMAC,PSPST,607nm,40.507534
ACEMAC,PSPST,608nm,40.303696
ACEMAC,PSPST,609nm,40.070236
ACEMAC,PSPST,610nm,39.784435
ACEMAC,PSPST,611nm,39.503647
ACEMAC,PSPST,612nm,39.275009
ACEMAC,PSPST,613nm,39.064663
ACEMAC,PSPST,614nm,38.875637
ACEMAC,PSPST,615nm,38.660404
ACEMAC,PSPST,616nm,38.438976
ACEMAC,PSPST,617nm,38.285805
ACEMAC,PSPST,618nm,38.119549
ACEMAC,PSPST,619nm,37.926449
ACEMAC,PSPST,620nm,37.755848
ACEMAC,PSPST,621nm,37.599022
ACEMAC,PSPST,622nm,37.384647
ACEMAC,PSPST,623nm,37.162926
ACEMAC,PSPST,624nm,36.933788
ACEMAC,PSPST,625nm,36.714882
ACEMAC,PSPST,626nm,36.505817
ACEMAC,PSPST,627nm,36.333454
ACEMAC,PSPST,628nm,36.177608
ACEMAC,PSPST,629nm,36.084068
ACEMAC,PSPST,630nm,36.001339
ACEMAC,PSPST,631nm,35.933685
ACEMAC,PSPST,632nm,35.894352
ACEMAC,PSPST,633nm,35.865669
ACEMAC,PSPST,634nm,35.833099
ACEMAC,PSPST,635nm,35.780197
ACEMAC,PSPST,636nm,35.688446
ACEMAC,PSPST,637nm,35.584717
ACEMAC,PSPST,638nm,35.474712
ACEMAC,PSPST,639nm,35.288338
ACEMAC,PSPST,640nm,35.073399
ACEMAC,PSPST,641nm,34.793446
ACEMAC,PSPST,642nm,34.514851
ACEMAC,PSPST,643nm,34.237133
ACEMAC,PSPST,644nm,33.914249
ACEMAC,PSPST,645nm,33.597626
ACEMAC,PSPST,646nm,33.310081
ACEMAC,PSPST,647nm,33.017548
ACEMAC,PSPST,648nm,32.721348
ACEMAC,PSPST,649nm,32.406319
ACEMAC,PSPST,650nm,32.089062
ACEMAC,PSPST,651nm,31.771065
ACEMAC,PSPST,652nm,31.541075
ACEMAC,PSPST,653nm,31.378851
ACEMAC,PSPST,654nm,31.272133
ACEMAC,PSPST,655nm,31.184566
ACEMAC,PSPST,656nm,31.139048
ACEMAC,PSPST,657nm,31.082273
ACEMAC,PSPST,658nm,31.017105
ACEMAC,PSPST,659nm,30.984486
ACEMAC,PSPST,660nm,30.978489
ACEMAC,PSPST,661nm,31.041124
ACEMAC,PSPST,662nm,31.080763
ACEMAC,PSPST,663nm,31.105064
ACEMAC,PSPST,664nm,31.064651
ACEMAC,PSPST,665nm,30.998705
ACEMAC,PSPST,666nm,30.880596
ACEMAC,PSPST,667nm,30.767952
ACEMAC,PSPST,668nm,30.658295
ACEMAC,PSPST,669nm,30.54818
ACEMAC,PSPST,670nm,30.422869
ACEMAC,PSPST,671nm,30.270023
ACEMAC,PSPST,672nm,30.144966
ACEMAC,PSPST,673nm,30.033266
ACEMAC,PSPST,674nm,29.949186
ACEMAC,PSPST,675nm,29.863962
ACEMAC,PSPST,676nm,29.777252
ACEMAC,PSPST,677nm,29.699129
ACEMAC,PSPST,678nm,29.616598
ACEMAC,PSPST,679nm,29.501476
ACEMAC,PSPST,680nm,29.324253
ACEMAC,PSPST,681nm,29.093367
ACEMAC,PSPST,682nm,28.841661
ACEMAC,PSPST,683nm,28.602932
ACEMAC,PSPST,684nm,28.402702
ACEMAC,PSPST,685nm,28.302364
ACEMAC,PSPST,686nm,28.259129
ACEMAC,PSPST,687nm,28.352356
ACEMAC,PSPST,688nm,28.505873
ACEMAC,PSPST,689nm,28.74375
ACEMAC,PSPST,690nm,29.139347
ACEMAC,PSPST,691nm,29.639599
ACEMAC,PSPST,692nm,30.426382
ACEMAC,PSPST,693nm,31.361326
ACEMAC,PSPST,694nm,32.406658
ACEMAC,PSPST,695nm,33.469738
ACEMAC,PSPST,696nm,34.551491
ACEMAC,PSPST,697nm,35.665836
ACEMAC,PSPST,698nm,36.862259
ACEMAC,PSPST,699nm,38.1012
ACEMAC,PSPST,700nm,39.428009
ACEMAC,PSPST,701nm,40.780083
ACEMAC,PSPST,702nm,42.153027
ACEMAC,PSPST,703nm,43.533489
ACEMAC,PSPST,704nm,44.952744
ACEMAC,PSPST,705nm,46.441883
ACEMAC,PSPST,706nm,47.908794
ACEMAC,PSPST,707nm,49.354069
ACEMAC,PSPST,708nm,50.728313
ACEMAC,PSPST,709nm,51.989658
ACEMAC,PSPST,710nm,53.170307
ACEMAC,PSPST,711nm,53.906387
ACEMAC,PSPST,712nm,54.483822
ACEMAC,PSPST,713nm,54.838753
ACEMAC,PSPST,714nm,55.097733
ACEMAC,PSPST,715nm,55.373394
ACEMAC,PSPST,716nm,55.752834
ACEMAC,PSPST,717nm,56.168037
ACEMAC,PSPST,718nm,56.615116
ACEMAC,PSPST,719nm,57.186935
ACEMAC,PSPST,720nm,57.82935
ACEMAC,PSPST,721nm,58.532486
ACEMAC,PSPST,722nm,59.641811
ACEMAC,PSPST,723nm,60.97065
ACEMAC,PSPST,724nm,62.603745
ACEMAC,PSPST,725nm,64.496956
ACEMAC,PSPST,726nm,66.530426
ACEMAC,PSPST,727nm,68.796684
ACEMAC,PSPST,728nm,71.171654
ACEMAC,PSPST,729nm,73.642136
ACEMAC,PSPST,730nm,76.377319
ACEMAC,PSPST,731nm,79.189041
ACEMAC,PSPST,732nm,82.049232
ACEMAC,PSPST,733nm,84.925308
ACEMAC,PSPST,734nm,87.845642
ACEMAC,PSPST,735nm,90.806473
ACEMAC,PSPST,736nm,93.62709
ACEMAC,PSPST,737nm,96.368118
ACEMAC,PSPST,738nm,99.01062
ACEMAC,PSPST,739nm,101.355476
ACEMAC,PSPST,740nm,103.545647
ACEMAC,PSPST,741nm,105.523056
ACEMAC,PSPST,742nm,107.382698
ACEMAC,PSPST,743nm,109.147606
ACEMAC,PSPST,744nm,110.747322
ACEMAC,PSPST,745nm,112.159409
ACEMAC,PSPST,746nm,113.473251
ACEMAC,PSPST,747nm,114.656807
ACEMAC,PSPST,748nm,115.543907
ACEMAC,PSPST,749nm,116.226654
ACEMAC,PSPST,750nm,116.55497
ACEMAC,PSPST,751nm,116.368195
ACEMAC,PSPST,752nm,115.740501
ACEMAC,PSPST,753nm,114.135963
ACEMAC,PSPST,754nm,111.548286
ACEMAC,PSPST,755nm,108.282661
ACEMAC,PSPST,756nm,104.035271
ACEMAC,PSPST,757nm,99.718964
ACEMAC,PSPST,758nm,95.44545
ACEMAC,PSPST,759nm,91.613571
ACEMAC,PSPST,760nm,88.57045
ACEMAC,PSPST,761nm,86.183701
ACEMAC,PSPST,762nm,85.068886
ACEMAC,PSPST,763nm,85.01017
ACEMAC,PSPST,764nm,85.774506
ACEMAC,PSPST,765nm,87.908684
ACEMAC,PSPST,766nm,91.135239
ACEMAC,PSPST,767nm,95.054893
ACEMAC,PSPST,768nm,99.745667
ACEMAC,PSPST,769nm,104.371452
ACEMAC,PSPST,770nm,108.823029
ACEMAC,PSPST,771nm,112.817207
ACEMAC,PSPST,772nm,116.014412
ACEMAC,PSPST,773nm,118.699966
ACEMAC,PSPST,774nm,120.742798
ACEMAC,PSPST,775nm,122.056152
ACEMAC,PSPST,776nm,123.033554
ACEMAC,PSPST,777nm,123.685448
ACEMAC,PSPST,778nm,123.999176
ACEMAC,PSPST,779nm,124.188026
ACEMAC,PSPST,780nm,124.265976
AMBIENT,PSPST,Time,2019/08/14_10:32:39
AMBIENT,PSPST,LUX,22049.53125
AMBIENT,PSPST,fc,2049.212891
AMBIENT,PSPST,CCT,5367
AMBIENT,PSPST,Duv,0.002656
AMBIENT,PSPST,I-Time,32
AMBIENT,PSPST,x,0.335674
AMBIENT,PSPST,y,0.349081
AMBIENT,PSPST,u',0.20601
AMBIENT,PSPST,v',0.482036
AMBIENT,PSPST,deltax,0.000105
AMBIENT,PSPST,deltay,0.005331
AMBIENT,PSPST,deltau',-0.00197
AMBIENT,PSPST,deltav',0.002672
AMBIENT,PSPST,LambdaP,749
AMBIENT,PSPST,LambdaPV,360.065216
AMBIENT,PSPST,LambdaD,560
AMBIENT,PSPST,Purity,5.418342
AMBIENT,PSPST,IRR,111.362526
AMBIENT,PSPST,CRI,98.934219
AMBIENT,PSPST,R1,98.795654
AMBIENT,PSPST,R2,99.382843
AMBIENT,PSPST,R3,99.534813
AMBIENT,PSPST,R4,98.754417
AMBIENT,PSPST,R5,98.977615
AMBIENT,PSPST,R6,99.158203
AMBIENT,PSPST,R7,98.985199
AMBIENT,PSPST,R8,97.884933
AMBIENT,PSPST,R9,94.406509
AMBIENT,PSPST,R10,98.468201
AMBIENT,PSPST,R11,98.362518
AMBIENT,PSPST,R12,99.13768
AMBIENT,PSPST,R13,98.863701
AMBIENT,PSPST,R14,99.661201
AMBIENT,PSPST,R15,98.489777
AMBIENT,PSPST,PPFD,391.963593
AMBIENT,PSPST,PFD,549.044739
AMBIENT,PSPST,PFD-UV,8.8335
AMBIENT,PSPST,PFD-B,101.755074
AMBIENT,PSPST,PFD-G,141.536148
AMBIENT,PSPST,PFD-R,151.412735
AMBIENT,PSPST,PFD-FR,150.43454
AMBIENT,PSPST,380nm,104.940475
AMBIENT,PSPST,381nm,105.948067
AMBIENT,PSPST,382nm,106.957321
AMBIENT,PSPST,383nm,107.828865
AMBIENT,PSPST,384nm,108.501595
AMBIENT,PSPST,385nm,110.331787
AMBIENT,PSPST,386nm,113.145966
AMBIENT,PSPST,387nm,114.385155
AMBIENT,PSPST,388nm,114.855057
AMBIENT,PSPST,389nm,117.217361
AMBIENT,PSPST,390nm,120.042831
AMBIENT,PSPST,391nm,121.057915
AMBIENT,PSPST,392nm,122.182747
AMBIENT,PSPST,393nm,126.605652
AMBIENT,PSPST,394nm,131.461365
AMBIENT,PSPST,395nm,138.06308
AMBIENT,PSPST,396nm,144.461243
AMBIENT,PSPST,397nm,150.447845
AMBIENT,PSPST,398nm,157.763138
AMBIENT,PSPST,399nm,166.617554
AMBIENT,PSPST,400nm,174.42659
AMBIENT,PSPST,401nm,181.527237
AMBIENT,PSPST,402nm,189.206421
AMBIENT,PSPST,403nm,197.100555
AMBIENT,PSPST,404nm,201.040344
AMBIENT,PSPST,405nm,204.349335
AMBIENT,PSPST,406nm,205.870377
AMBIENT,PSPST,407nm,207.357437
AMBIENT,PSPST,408nm,208.663635
AMBIENT,PSPST,409nm,210.051041
AMBIENT,PSPST,410nm,211.663925
AMBIENT,PSPST,411nm,213.723267
AMBIENT,PSPST,412nm,216.453323
AMBIENT,PSPST,413nm,218.354492
AMBIENT,PSPST,414nm,219.535263
AMBIENT,PSPST,415nm,221.245834
AMBIENT,PSPST,416nm,223.216263
AMBIENT,PSPST,417nm,223.659821
AMBIENT,PSPST,418nm,223.738693
AMBIENT,PSPST,419nm,223.932114
AMBIENT,PSPST,420nm,224.108627
AMBIENT,PSPST,421nm,224.017853
AMBIENT,PSPST,422nm,223.754166
AMBIENT,PSPST,423nm,222.875412
AMBIENT,PSPST,424nm,221.311722
AMBIENT,PSPST,425nm,218.519562
AMBIENT,PSPST,426nm,216.520493
AMBIENT,PSPST,427nm,215.3237
AMBIENT,PSPST,428nm,215.258408
AMBIENT,PSPST,429nm,215.838089
AMBIENT,PSPST,430nm,217.504852
AMBIENT,PSPST,431nm,219.48288
AMBIENT,PSPST,432nm,221.721619
AMBIENT,PSPST,433nm,224.03363
AMBIENT,PSPST,434nm,227.126968
AMBIENT,PSPST,435nm,230.866379
AMBIENT,PSPST,436nm,237.144989
AMBIENT,PSPST,437nm,242.689423
AMBIENT,PSPST,438nm,246.846436
AMBIENT,PSPST,439nm,250.664551
AMBIENT,PSPST,440nm,254.130142
AMBIENT,PSPST,441nm,257.269592
AMBIENT,PSPST,442nm,260.221497
AMBIENT,PSPST,443nm,264.305267
AMBIENT,PSPST,444nm,268.707397
AMBIENT,PSPST,445nm,273.710236
AMBIENT,PSPST,446nm,278.570984
AMBIENT,PSPST,447nm,281.066315
AMBIENT,PSPST,448nm,283.387695
AMBIENT,PSPST,449nm,285.100494
AMBIENT,PSPST,450nm,287.234589
AMBIENT,PSPST,451nm,290.082123
AMBIENT,PSPST,452nm,292.357819
AMBIENT,PSPST,453nm,294.107819
AMBIENT,PSPST,454nm,295.307678
AMBIENT,PSPST,455nm,296.2388
AMBIENT,PSPST,456nm,296.679504
AMBIENT,PSPST,457nm,297.015137
AMBIENT,PSPST,458nm,298.326569
AMBIENT,PSPST,459nm,299.576843
AMBIENT,PSPST,460nm,300.25766
AMBIENT,PSPST,461nm,300.707489
AMBIENT,PSPST,462nm,300.575989
AMBIENT,PSPST,463nm,300.298889
AMBIENT,PSPST,464nm,299.836395
AMBIENT,PSPST,465nm,299.625854
AMBIENT,PSPST,466nm,299.585724
AMBIENT,PSPST,467nm,299.41806
AMBIENT,PSPST,468nm,299.208832
AMBIENT,PSPST,469nm,299.325226
AMBIENT,PSPST,470nm,299.531342
AMBIENT,PSPST,471nm,300.486176
AMBIENT,PSPST,472nm,301.526978
AMBIENT,PSPST,473nm,302.85022
AMBIENT,PSPST,474nm,304.279877
AMBIENT,PSPST,475nm,305.872284
AMBIENT,PSPST,476nm,307.112762
AMBIENT,PSPST,477nm,308.07486
AMBIENT,PSPST,478nm,308.207764
AMBIENT,PSPST,479nm,308.022186
AMBIENT,PSPST,480nm,306.27887
AMBIENT,PSPST,481nm,304.358582
AMBIENT,PSPST,482nm,302.784302
AMBIENT,PSPST,483nm,301.344238
AMBIENT,PSPST,484nm,300.374756
AMBIENT,PSPST,485nm,299.353363
AMBIENT,PSPST,486nm,298.251068
AMBIENT,PSPST,487nm,297.367432
AMBIENT,PSPST,488nm,296.655029
AMBIENT,PSPST,489nm,296.843445
AMBIENT,PSPST,490nm,297.361572
AMBIENT,PSPST,491nm,299.399933
AMBIENT,PSPST,492nm,301.544861
AMBIENT,PSPST,493nm,303.054596
AMBIENT,PSPST,494nm,304.115356
AMBIENT,PSPST,495nm,303.852203
AMBIENT,PSPST,496nm,303.519928
AMBIENT,PSPST,497nm,303.095825
AMBIENT,PSPST,498nm,302.764984
AMBIENT,PSPST,499nm,302.494507
AMBIENT,PSPST,500nm,301.371307
AMBIENT,PSPST,501nm,300.015869
AMBIENT,PSPST,502nm,299.858826
AMBIENT,PSPST,503nm,299.801605
AMBIENT,PSPST,504nm,300.078125
AMBIENT,PSPST,505nm,300.484253
AMBIENT,PSPST,506nm,301.153046
AMBIENT,PSPST,507nm,301.66333
AMBIENT,PSPST,508nm,302.024048
AMBIENT,PSPST,509nm,301.62674
AMBIENT,PSPST,510nm,300.904877
AMBIENT,PSPST,511nm,299.331512
AMBIENT,PSPST,512nm,297.675507
AMBIENT,PSPST,513nm,296.333527
AMBIENT,PSPST,514nm,295.227356
AMBIENT,PSPST,515nm,294.774475
AMBIENT,PSPST,516nm,294.491669
AMBIENT,PSPST,517nm,294.411316
AMBIENT,PSPST,518nm,294.80838
AMBIENT,PSPST,519nm,295.463715
AMBIENT,PSPST,520nm,296.417419
AMBIENT,PSPST,521nm,297.467926
AMBIENT,PSPST,522nm,299.548492
AMBIENT,PSPST,523nm,301.717194
AMBIENT,PSPST,524nm,304.172119
AMBIENT,PSPST,525nm,306.230286
AMBIENT,PSPST,526nm,307.770966
AMBIENT,PSPST,527nm,309.018036
AMBIENT,PSPST,528nm,310.09549
AMBIENT,PSPST,529nm,310.940186
AMBIENT,PSPST,530nm,311.760925
AMBIENT,PSPST,531nm,313.136322
AMBIENT,PSPST,532nm,314.317627
AMBIENT,PSPST,533nm,314.89328
AMBIENT,PSPST,534nm,315.131561
AMBIENT,PSPST,535nm,314.955353
AMBIENT,PSPST,536nm,314.715485
AMBIENT,PSPST,537nm,314.44223
AMBIENT,PSPST,538nm,314.429871
AMBIENT,PSPST,539nm,314.461731
AMBIENT,PSPST,540nm,314.537415
AMBIENT,PSPST,541nm,314.535614
AMBIENT,PSPST,542nm,314.342255
AMBIENT,PSPST,543nm,314.292877
AMBIENT,PSPST,544nm,314.386353
AMBIENT,PSPST,545nm,314.783936
AMBIENT,PSPST,546nm,315.301392
AMBIENT,PSPST,547nm,315.830322
AMBIENT,PSPST,548nm,316.313202
AMBIENT,PSPST,549nm,316.536591
AMBIENT,PSPST,550nm,316.642395
AMBIENT,PSPST,551nm,316.550629
AMBIENT,PSPST,552nm,316.212921
AMBIENT,PSPST,553nm,315.707794
AMBIENT,PSPST,554nm,314.963196
AMBIENT,PSPST,555nm,314.172852
AMBIENT,PSPST,556nm,313.543976
AMBIENT,PSPST,557nm,312.929657
AMBIENT,PSPST,558nm,312.354584
AMBIENT,PSPST,559nm,311.609833
AMBIENT,PSPST,560nm,310.694641
AMBIENT,PSPST,561nm,309.908844
AMBIENT,PSPST,562nm,309.171051
AMBIENT,PSPST,563nm,308.462616
AMBIENT,PSPST,564nm,307.751282
AMBIENT,PSPST,565nm,307.023071
AMBIENT,PSPST,566nm,306.386444
AMBIENT,PSPST,567nm,305.871216
AMBIENT,PSPST,568nm,305.325562
AMBIENT,PSPST,569nm,304.764709
AMBIENT,PSPST,570nm,304.17395
AMBIENT,PSPST,571nm,303.628052
AMBIENT,PSPST,572nm,303.362183
AMBIENT,PSPST,573nm,303.18689
AMBIENT,PSPST,574nm,303.154236
AMBIENT,PSPST,575nm,303.308838
AMBIENT,PSPST,576nm,303.572205
AMBIENT,PSPST,577nm,303.78006
AMBIENT,PSPST,578nm,303.960205
AMBIENT,PSPST,579nm,304.001251
AMBIENT,PSPST,580nm,303.941162
AMBIENT,PSPST,581nm,303.712585
AMBIENT,PSPST,582nm,303.045441
AMBIENT,PSPST,583nm,302.116425
AMBIENT,PSPST,584nm,300.697205
AMBIENT,PSPST,585nm,299.195251
AMBIENT,PSPST,586nm,297.594177
AMBIENT,PSPST,587nm,296.012451
AMBIENT,PSPST,588nm,294.460876
AMBIENT,PSPST,589nm,292.971039
AMBIENT,PSPST,590nm,291.514679
AMBIENT,PSPST,591nm,290.622955
AMBIENT,PSPST,592nm,289.926117
AMBIENT,PSPST,593nm,289.89978
AMBIENT,PSPST,594nm,290.265625
AMBIENT,PSPST,595nm,291.141479
AMBIENT,PSPST,596nm,291.945099
AMBIENT,PSPST,597nm,292.717834
AMBIENT,PSPST,598nm,293.457062
AMBIENT,PSPST,599nm,294.171021
AMBIENT,PSPST,600nm,294.807281
AMBIENT,PSPST,601nm,295.351105
AMBIENT,PSPST,602nm,295.805664
AMBIENT,PSPST,603nm,296.072174
AMBIENT,PSPST,604nm,296.266357
AMBIENT,PSPST,605nm,296.132996
AMBIENT,PSPST,606nm,295.977112
AMBIENT,PSPST,607nm,295.776428
AMBIENT,PSPST,608nm,295.349548
AMBIENT,PSPST,609nm,294.779968
AMBIENT,PSPST,610nm,293.783356
AMBIENT,PSPST,611nm,292.786041
AMBIENT,PSPST,612nm,292.020599
AMBIENT,PSPST,613nm,291.338837
AMBIENT,PSPST,614nm,290.754608
AMBIENT,PSPST,615nm,290.352722
AMBIENT,PSPST,616nm,290.011017
AMBIENT,PSPST,617nm,289.639771
AMBIENT,PSPST,618nm,289.217804
AMBIENT,PSPST,619nm,288.691681
AMBIENT,PSPST,620nm,288.144226
AMBIENT,PSPST,621nm,287.58374
AMBIENT,PSPST,622nm,286.788208
AMBIENT,PSPST,623nm,285.942261
AMBIENT,PSPST,624nm,284.989777
AMBIENT,PSPST,625nm,284.05777
AMBIENT,PSPST,626nm,283.145477
AMBIENT,PSPST,627nm,282.398621
AMBIENT,PSPST,628nm,281.749512
AMBIENT,PSPST,629nm,281.564056
AMBIENT,PSPST,630nm,281.531097
AMBIENT,PSPST,631nm,281.710876
AMBIENT,PSPST,632nm,282.01416
AMBIENT,PSPST,633nm,282.368347
AMBIENT,PSPST,634nm,282.836395
AMBIENT,PSPST,635nm,283.243469
AMBIENT,PSPST,636nm,283.533997
AMBIENT,PSPST,637nm,283.708862
AMBIENT,PSPST,638nm,283.823151
AMBIENT,PSPST,639nm,283.469421
AMBIENT,PSPST,640nm,282.974457
AMBIENT,PSPST,641nm,282.164795
AMBIENT,PSPST,642nm,281.179382
AMBIENT,PSPST,643nm,280.0802
AMBIENT,PSPST,644nm,278.965698
AMBIENT,PSPST,645nm,277.867371
AMBIENT,PSPST,646nm,276.820679
AMBIENT,PSPST,647nm,275.628052
AMBIENT,PSPST,648nm,274.328278
AMBIENT,PSPST,649nm,272.80191
AMBIENT,PSPST,650nm,271.219086
AMBIENT,PSPST,651nm,269.529785
AMBIENT,PSPST,652nm,268.559357
AMBIENT,PSPST,653nm,268.142487
AMBIENT,PSPST,654nm,268.185822
AMBIENT,PSPST,655nm,268.368866
AMBIENT,PSPST,656nm,268.838501
AMBIENT,PSPST,657nm,269.220245
AMBIENT,PSPST,658nm,269.536499
AMBIENT,PSPST,659nm,270.439453
AMBIENT,PSPST,660nm,271.523682
AMBIENT,PSPST,661nm,272.973389
AMBIENT,PSPST,662nm,274.503632
AMBIENT,PSPST,663nm,276.087616
AMBIENT,PSPST,664nm,276.896637
AMBIENT,PSPST,665nm,277.478333
AMBIENT,PSPST,666nm,277.622437
AMBIENT,PSPST,667nm,277.415924
AMBIENT,PSPST,668nm,277.017853
AMBIENT,PSPST,669nm,276.872253
AMBIENT,PSPST,670nm,276.640533
AMBIENT,PSPST,671nm,276.252777
AMBIENT,PSPST,672nm,276.150696
AMBIENT,PSPST,673nm,276.128906
AMBIENT,PSPST,674nm,275.671936
AMBIENT,PSPST,675nm,275.220673
AMBIENT,PSPST,676nm,274.776794
AMBIENT,PSPST,677nm,274.198273
AMBIENT,PSPST,678nm,273.45639
AMBIENT,PSPST,679nm,272.068542
AMBIENT,PSPST,680nm,270.241455
AMBIENT,PSPST,681nm,268.034851
AMBIENT,PSPST,682nm,264.611603
AMBIENT,PSPST,683nm,261.158691
AMBIENT,PSPST,684nm,257.945282
AMBIENT,PSPST,685nm,255.140152
AMBIENT,PSPST,686nm,252.566437
AMBIENT,PSPST,687nm,250.49733
AMBIENT,PSPST,688nm,248.680084
AMBIENT,PSPST,689nm,247.215286
AMBIENT,PSPST,690nm,246.733994
AMBIENT,PSPST,691nm,246.797638
AMBIENT,PSPST,692nm,248.17482
AMBIENT,PSPST,693nm,250.210648
AMBIENT,PSPST,694nm,252.737183
AMBIENT,PSPST,695nm,255.101364
AMBIENT,PSPST,696nm,257.393372
AMBIENT,PSPST,697nm,259.565857
AMBIENT,PSPST,698nm,261.861206
AMBIENT,PSPST,699nm,264.230988
AMBIENT,PSPST,700nm,266.79422
AMBIENT,PSPST,701nm,269.305817
AMBIENT,PSPST,702nm,271.774811
AMBIENT,PSPST,703nm,274.004486
AMBIENT,PSPST,704nm,276.382874
AMBIENT,PSPST,705nm,279.05484
AMBIENT,PSPST,706nm,281.388275
AMBIENT,PSPST,707nm,283.533295
AMBIENT,PSPST,708nm,285.279144
AMBIENT,PSPST,709nm,286.336151
AMBIENT,PSPST,710nm,286.900787
AMBIENT,PSPST,711nm,285.518188
AMBIENT,PSPST,712nm,283.294067
AMBIENT,PSPST,713nm,279.888367
AMBIENT,PSPST,714nm,275.87323
AMBIENT,PSPST,715nm,271.869019
AMBIENT,PSPST,716nm,268.248077
AMBIENT,PSPST,717nm,264.905396
AMBIENT,PSPST,718nm,261.748627
AMBIENT,PSPST,719nm,259.05014
AMBIENT,PSPST,720nm,256.825958
AMBIENT,PSPST,721nm,255.009674
AMBIENT,PSPST,722nm,254.704712
AMBIENT,PSPST,723nm,255.373825
AMBIENT,PSPST,724nm,257.406281
AMBIENT,PSPST,725nm,260.539734
AMBIENT,PSPST,726nm,264.172302
AMBIENT,PSPST,727nm,268.549774
AMBIENT,PSPST,728nm,273.099884
AMBIENT,PSPST,729nm,277.898071
AMBIENT,PSPST,730nm,283.586609
AMBIENT,PSPST,731nm,289.490051
AMBIENT,PSPST,732nm,295.556885
AMBIENT,PSPST,733nm,302.037964
AMBIENT,PSPST,734nm,308.598572
AMBIENT,PSPST,735nm,315.231934
AMBIENT,PSPST,736nm,321.160278
AMBIENT,PSPST,737nm,326.891541
AMBIENT,PSPST,738nm,332.389191
AMBIENT,PSPST,739nm,336.941833
AMBIENT,PSPST,740nm,341.055023
AMBIENT,PSPST,741nm,344.583466
AMBIENT,PSPST,742nm,347.731995
AMBIENT,PSPST,743nm,350.572418
AMBIENT,PSPST,744nm,352.874115
AMBIENT,PSPST,745nm,355.139435
AMBIENT,PSPST,746nm,357.222687
AMBIENT,PSPST,747nm,358.7836
AMBIENT,PSPST,748nm,359.678833
AMBIENT,PSPST,749nm,360.065216
AMBIENT,PSPST,750nm,359.463165
AMBIENT,PSPST,751nm,357.385529
AMBIENT,PSPST,752nm,354.047882
AMBIENT,PSPST,753nm,347.926605
AMBIENT,PSPST,754nm,339.205933
AMBIENT,PSPST,755nm,328.587341
AMBIENT,PSPST,756nm,314.81308
AMBIENT,PSPST,757nm,301.182037
AMBIENT,PSPST,758nm,287.861023
AMBIENT,PSPST,759nm,275.84494
AMBIENT,PSPST,760nm,266.220428
AMBIENT,PSPST,761nm,258.549103
AMBIENT,PSPST,762nm,254.536453
AMBIENT,PSPST,763nm,253.94426
AMBIENT,PSPST,764nm,255.81636
AMBIENT,PSPST,765nm,261.175323
AMBIENT,PSPST,766nm,270.088104
AMBIENT,PSPST,767nm,281.099884
