"","PFD-B_SG2","PFD-FR_SG2","PFD-G_SG2","PFD-R_SG2","PFD-UV_SG2"
"LONSOF.100",2.777103,4.726319,3.40293,3.314342,0.285896
"LONSOF.101",7.492728,9.02383,8.51078,8.171425,0.813722
"LONSOF.102",9.188999,20.622118,12.638829,13.165819,0.868239
"LONSOF.103",84.150826,102.02121,114.757004,121.651085,7.088164
"LONSOF.104",13.614073,21.444986,16.743921,16.31797,1.387091
"LONSOF.108",6.374141,9.566211,7.838786,7.699364,0.639874
"LONSOF.109",8.81307,12.812284,11.227402,11.353173,0.842056
"LONSOF.110",8.676934,12.823886,11.383242,11.946903,0.805671
"LONSOF.12",6.438854,10.841748,8.132383,8.056043,0.631413
"LONSOF.13",17.180588,27.952068,25.031954,27.283632,1.409466
"LONSOF.14",9.515859,17.006857,12.950153,13.300163,0.854341
"LONSOF.18",3.588037,5.9989,4.358433,4.203426,0.375599
"LONSOF.19",33.405426,43.039093,45.612465,47.981449,2.805632
"LONSOF.20",9.361522,13.224388,12.606399,12.878166,0.817983
"LONSOF.24",7.073854,12.483831,8.887129,8.768388,0.702361
"LONSOF.25",7.960635,18.421612,10.733035,10.815653,0.751764
"LONSOF.26",6.615611,15.063869,8.75506,8.738317,0.640721
"LONSOF.30",6.633933,13.815515,8.85093,8.868228,0.629161
"LONSOF.31",7.722898,10.869569,9.677633,9.716085,0.743128
"LONSOF.32",4.604987,7.893952,5.791372,5.706495,0.459255
"LONSOF.33",6.419263,9.220036,8.013165,8.002416,0.624777
"LONSOF.34",3.34718,5.523801,4.17028,4.15268,0.3345
"LONSOF.35",6.344772,9.324894,8.031188,8.083891,0.606416
"LONSOF.39",4.826612,7.092851,5.924456,5.885683,0.482853
"LONSOF.40",3.260024,5.290418,3.994186,3.931195,0.33414
"LONSOF.41",4.804139,7.353571,6.043821,6.045651,0.467528
"LONSOF.45",4.408136,10.295847,5.875216,5.899891,0.420618
"LONSOF.46",5.092577,8.19126,6.415773,6.398596,0.496308
"LONSOF.47",5.321821,8.426699,6.770184,6.816309,0.511563
"LONSOF.54",3.415377,5.692432,4.187124,4.116652,0.349313
"LONSOF.55",3.553204,5.695852,4.363062,4.303737,0.361703
"LONSOF.56",2.793611,4.736729,3.437954,3.396168,0.283367
"LONSOF.63",2.994521,4.815608,3.660236,3.605685,0.305089
"LONSOF.64",2.830372,4.903303,3.636438,3.67356,0.270278
"LONSOF.65",4.761716,6.97022,5.940189,5.948644,0.464306
"LONSOF.75",3.512092,8.973172,4.715979,4.687975,0.338323
"LONSOF.76",3.584813,6.096579,4.56265,4.560979,0.34593
"LONSOF.77",3.334789,5.111388,4.035583,3.969189,0.34256
"LONSOF.81",4.329683,11.742678,5.834414,5.801872,0.421839
"LONSOF.82",5.719337,7.561075,6.688074,6.490884,0.602201
"LONSOF.83",6.14938,8.253015,7.384672,7.300198,0.629326
"LONSOF.84",6.302452,8.743279,7.493916,7.300843,0.653958
"LONSOF.85",13.122913,19.165562,17.836824,18.56974,1.123507
"LONSOF.86",10.303424,13.968237,13.139242,13.409538,0.980753
"LONSOF.90",2.737608,4.295709,3.383999,3.324485,0.271853
"LONSOF.91",2.379069,3.784971,2.895011,2.830258,0.244127
"LONSOF.92",3.016159,4.468109,3.598284,3.492628,0.314331
"LONSOF.99",6.092232,7.841833,7.016234,6.744996,0.657653
"THUPLI.15",4.271553,6.124086,4.871258,4.610609,0.467526
"THUPLI.16",4.137432,6.077559,4.69148,4.389986,0.457535
"THUPLI.17",5.776337,8.321226,6.738552,6.412109,0.615441
"THUPLI.22",132.599228,147.204514,177.277832,185.091736,11.189198
"THUPLI.23",22.000578,38.809898,30.428234,31.183802,1.902787
"THUPLI.24",20.291899,35.853893,27.895948,28.901291,1.797677
"THUPLI.31",1.697473,3.232373,2.110918,2.070871,0.174908
"THUPLI.32",2.320525,3.824461,2.728489,2.61091,0.252535
"THUPLI.33",2.776177,4.485022,3.268202,3.124412,0.300438
"THUPLI.6",3.871385,6.514175,4.993401,5.092386,0.368871
"THUPLI.7",3.688552,5.891695,4.618048,4.634161,0.362161
"THUPLI.8",3.441742,7.130156,4.53105,4.562779,0.328578
"TSUHET.12",2.301743,4.048018,2.810007,2.763928,0.237637
"TSUHET.13",2.326846,4.001541,2.791927,2.801374,0.245684
"TSUHET.14",2.390081,4.537166,3.068082,3.062526,0.234061
"TSUHET.24",10.287615,21.945539,14.887557,15.406396,0.881211
"TSUHET.25",5.091121,14.079836,7.477372,7.618896,0.456376
"TSUHET.26",4.490677,15.258645,6.854855,6.849561,0.407071
"TSUHET.36",7.309749,14.486704,9.784842,9.972037,0.68266
"TSUHET.37",4.74933,8.273633,6.009322,5.95048,0.46825
"TSUHET.38",4.598246,7.680365,5.813757,5.763895,0.450954
"TSUHET.51",6.013077,17.020779,7.939409,7.689884,0.627855
"TSUHET.52",26.387169,45.705311,38.034935,42.790741,2.218638
"TSUHET.53",11.535043,15.038459,15.114668,15.089658,1.022582
"TSUHET.60",2.949965,10.841574,4.509963,4.501714,0.277673
"TSUHET.61",3.295193,10.205147,4.896389,5.033872,0.300411
"TSUHET.62",54.992661,70.597824,77.629738,84.213837,4.469503
"TSUHET.75",2.76207,5.497175,3.643868,3.510861,0.271654
"TSUHET.76",6.731519,9.00878,8.335238,8.316168,0.655528
"TSUHET.77",6.362197,8.739956,7.885531,7.823072,0.623789
