variable,species,avg
422nm,TSUHET,-542.3812593333333
423nm,ACEGLA,-615.5180553333333
423nm,ACEMAC,-325.7248065925926
423nm,ALNRUB,-344.02391386666665
423nm,POPTRI,-700.720924
423nm,THUPLI,-512.6183933333333
423nm,TSUHET,-540.6725946666667
424nm,ACEGLA,-612.0443443333334
424nm,ACEMAC,-323.77035233333334
424nm,ALNRUB,-342.1356353
424nm,POPTRI,-696.8337690000001
424nm,THUPLI,-509.371556
424nm,TSUHET,-537.2891986666666
425nm,ACEGLA,-605.0219205000001
425nm,ACEMAC,-319.93188692592594
425nm,ALNRUB,-338.10067836666667
425nm,POPTRI,-689.4258436666667
425nm,THUPLI,-503.12474806666665
425nm,TSUHET,-530.9021913333333
426nm,ACEGLA,-600.0544218333333
426nm,ACEMAC,-317.25144470370367
426nm,ALNRUB,-335.3459429
426nm,POPTRI,-683.599016
426nm,THUPLI,-498.7546595333333
426nm,TSUHET,-526.2876213333333
427nm,ACEGLA,-597.1655548333333
427nm,ACEMAC,-315.7423845925926
427nm,ALNRUB,-333.88617946666665
427nm,POPTRI,-679.3716006666666
427nm,THUPLI,-496.28297266666664
427nm,TSUHET,-523.4659186666667
428nm,ACEGLA,-597.6951386666667
428nm,ACEMAC,-315.93226166666665
428nm,ALNRUB,-334.2918326
428nm,POPTRI,-679.6076909999999
428nm,THUPLI,-496.3670181333333
428nm,TSUHET,-523.611479
429nm,ACEGLA,-600.1732685
429nm,ACEMAC,-317.09056151851854
429nm,ALNRUB,-335.76081393333334
429nm,POPTRI,-682.3880983333333
429nm,THUPLI,-497.9078733333333
429nm,TSUHET,-525.4484666666667
430nm,ACEGLA,-605.1758555
430nm,ACEMAC,-319.734606
430nm,ALNRUB,-338.6412132333333
430nm,POPTRI,-687.736324
430nm,THUPLI,-501.6638702
430nm,TSUHET,-529.6233473333333
431nm,ACEGLA,-610.9012951666667
431nm,ACEMAC,-322.804058037037
431nm,ALNRUB,-341.9257108333333
431nm,POPTRI,-693.8197403333334
431nm,THUPLI,-506.0541081333334
431nm,TSUHET,-534.4676086666667
432nm,ACEGLA,-617.5911161666667
432nm,ACEMAC,-326.26177277777776
432nm,ALNRUB,-345.78435393333336
432nm,POPTRI,-702.1423836666667
432nm,THUPLI,-511.4268518
432nm,TSUHET,-540.2468193333334
433nm,ACEGLA,-624.5231233333333
433nm,ACEMAC,-329.8433923703704
433nm,ALNRUB,-349.7849693333333
433nm,POPTRI,-710.737548
433nm,THUPLI,-517.0235892000001
433nm,TSUHET,-546.2783853333334
434nm,ACEGLA,-633.8943001666667
434nm,ACEMAC,-334.8190332962963
434nm,ALNRUB,-355.2038502666667
434nm,POPTRI,-720.482062
434nm,THUPLI,-524.7517065333334
434nm,TSUHET,-554.9487293333334
435nm,ACEGLA,-645.0871108333333
435nm,ACEMAC,-340.73683744444446
435nm,ALNRUB,-361.62501423333333
435nm,POPTRI,-732.6213643333333
435nm,THUPLI,-533.8946102666666
435nm,TSUHET,-565.0123236666666
436nm,ACEGLA,-663.4398291666668
436nm,ACEMAC,-350.35775033333334
436nm,ALNRUB,-371.98559743333334
436nm,POPTRI,-754.1731156666666
436nm,THUPLI,-548.5982020666667
436nm,TSUHET,-580.5518996666667
437nm,ACEGLA,-679.9487716666666
437nm,ACEMAC,-358.971568
437nm,ALNRUB,-381.2564410666667
437nm,POPTRI,-773.272421
437nm,THUPLI,-561.8281048666666
437nm,TSUHET,-594.624915
438nm,ACEGLA,-692.9739263333333
438nm,ACEMAC,-365.6823470740741
438nm,ALNRUB,-388.4681261333333
438nm,POPTRI,-787.7376079999999
438nm,THUPLI,-572.2733990666667
438nm,TSUHET,-605.9265896666667
439nm,ACEGLA,-704.6632988333333
439nm,ACEMAC,-371.8738359259259
439nm,ALNRUB,-395.0316389
439nm,POPTRI,-801.1781973333334
439nm,THUPLI,-581.6560788666667
439nm,TSUHET,-615.9069753333333
440nm,ACEGLA,-714.963262
440nm,ACEMAC,-377.5251448148148
440nm,ALNRUB,-400.92091546666666
440nm,POPTRI,-813.5529336666667
440nm,THUPLI,-589.9334222
440nm,TSUHET,-624.5128940000001
441nm,ACEGLA,-724.3217971666667
441nm,ACEMAC,-382.4376071851852
441nm,ALNRUB,-406.3001787333333
441nm,POPTRI,-823.711572
441nm,THUPLI,-597.3781478666667
441nm,TSUHET,-632.410389
442nm,ACEGLA,-733.1389663333333
442nm,ACEMAC,-386.9252099259259
442nm,ALNRUB,-411.3861036
442nm,POPTRI,-832.5959513333333
442nm,THUPLI,-604.3440892666666
442nm,TSUHET,-639.9004970000001
443nm,ACEGLA,-745.7602293333333
443nm,ACEMAC,-393.3667105185185
443nm,ALNRUB,-418.3803137
443nm,POPTRI,-846.438867
443nm,THUPLI,-614.3601833333333
443nm,TSUHET,-650.8056763333334
444nm,ACEGLA,-759.4513983333334
444nm,ACEMAC,-400.35775414814816
444nm,ALNRUB,-425.9112487333333
444nm,POPTRI,-861.676651
444nm,THUPLI,-625.2341577333333
444nm,TSUHET,-662.6714046666667
445nm,ACEGLA,-774.1013823333334
445nm,ACEMAC,-408.1175598888889
445nm,ALNRUB,-434.2588968333334
445nm,POPTRI,-878.4204530000001
445nm,THUPLI,-637.0430566
445nm,TSUHET,-674.9695526666667
446nm,ACEGLA,-788.29998
446nm,ACEMAC,-415.65036648148146
446nm,ALNRUB,-442.37527083333333
446nm,POPTRI,-894.6696803333332
446nm,THUPLI,-648.5082916
446nm,TSUHET,-686.8787816666667
447nm,ACEGLA,-795.919193
447nm,ACEMAC,-419.59268585185185
447nm,ALNRUB,-446.8002764666667
447nm,POPTRI,-903.2626819999999
447nm,THUPLI,-654.7628211333333
447nm,TSUHET,-693.506931
448nm,ACEGLA,-803.0839946666666
448nm,ACEMAC,-423.3157797777778
448nm,ALNRUB,-450.98065206666666
448nm,POPTRI,-911.3061226666666
448nm,THUPLI,-660.5875391333334
448nm,TSUHET,-699.6606766666667
449nm,ACEGLA,-808.6586506666667
449nm,ACEMAC,-426.2717645925926
449nm,ALNRUB,-454.3051067
449nm,POPTRI,-917.4264323333333
449nm,THUPLI,-664.9082466666666
449nm,TSUHET,-704.1543443333334
450nm,ACEGLA,-815.3190816666666
450nm,ACEMAC,-429.7945591851852
450nm,ALNRUB,-458.217762
450nm,POPTRI,-924.734619
450nm,THUPLI,-670.1709376
450nm,TSUHET,-709.7605466666668
451nm,ACEGLA,-823.818329
451nm,ACEMAC,-434.2772715185185
451nm,ALNRUB,-463.12662819999997
451nm,POPTRI,-934.0546986666667
451nm,THUPLI,-677.0289583333333
451nm,TSUHET,-717.2507893333333
452nm,ACEGLA,-830.7642923333334
452nm,ACEMAC,-438.0042604814815
452nm,ALNRUB,-467.16869533333335
452nm,POPTRI,-942.0987630000001
452nm,THUPLI,-682.5969301333333
452nm,TSUHET,-723.4078893333333
453nm,ACEGLA,-836.2823598333332
453nm,ACEMAC,-441.03659325925923
453nm,ALNRUB,-470.4139783
453nm,POPTRI,-948.9700293333334
453nm,THUPLI,-686.9791231333334
453nm,TSUHET,-728.33956
454nm,ACEGLA,-840.227379
454nm,ACEMAC,-443.0936378888889
454nm,ALNRUB,-472.7586215
454nm,POPTRI,-953.0635406666667
454nm,THUPLI,-690.0501972666666
454nm,TSUHET,-731.5773096666667
455nm,ACEGLA,-843.4039841666666
455nm,ACEMAC,-444.6743225185185
455nm,ALNRUB,-474.6633609666667
455nm,POPTRI,-955.8003933333333
455nm,THUPLI,-692.4809230666667
455nm,TSUHET,-733.9876806666667
456nm,ACEGLA,-845.2644475
456nm,ACEMAC,-445.6781397037037
456nm,ALNRUB,-475.8926132666667
456nm,POPTRI,-958.3198246666667
456nm,THUPLI,-693.8139642
456nm,TSUHET,-735.5073026666666
457nm,ACEGLA,-846.8429208333334
457nm,ACEMAC,-446.55834166666665
457nm,ALNRUB,-476.9771131
457nm,POPTRI,-960.792676
457nm,THUPLI,-694.9118000666666
457nm,TSUHET,-736.8360956666667
458nm,ACEGLA,-851.1732956666667
458nm,ACEMAC,-448.8433464074074
458nm,ALNRUB,-479.5005891
458nm,POPTRI,-965.2018656666667
458nm,THUPLI,-698.265662
458nm,TSUHET,-740.6728103333334
459nm,ACEGLA,-855.3774175
459nm,ACEMAC,-451.0578054074074
459nm,ALNRUB,-481.9329853333333
459nm,POPTRI,-969.4939816666667
459nm,THUPLI,-701.4849220666666
459nm,TSUHET,-744.3427516666667
460nm,ACEGLA,-858.2853388333333
460nm,ACEMAC,-452.5696144074074
460nm,ALNRUB,-483.5195639666667
460nm,POPTRI,-972.6850539999999
460nm,THUPLI,-703.4328986666667
460nm,TSUHET,-746.4843093333334
461nm,ACEGLA,-860.3295535
461nm,ACEMAC,-453.62501892592593
461nm,ALNRUB,-484.6996862666667
461nm,POPTRI,-975.0622010000001
461nm,THUPLI,-704.7572312
461nm,TSUHET,-747.9925716666665
462nm,ACEGLA,-860.200187
462nm,ACEMAC,-453.5318587037037
462nm,ALNRUB,-484.85683013333335
462nm,POPTRI,-975.3907626666667
462nm,THUPLI,-704.512125
462nm,TSUHET,-747.9072286666667
463nm,ACEGLA,-860.0212688333334
463nm,ACEMAC,-453.461134962963
463nm,ALNRUB,-484.94553843333335
463nm,POPTRI,-975.3986853333333
463nm,THUPLI,-704.2180651333333
463nm,TSUHET,-747.597689
464nm,ACEGLA,-859.779361
464nm,ACEMAC,-453.4189858888889
464nm,ALNRUB,-484.9470867
464nm,POPTRI,-974.9983703333332
464nm,THUPLI,-703.8616706666667
464nm,TSUHET,-747.0027289999999
465nm,ACEGLA,-859.8621321666667
465nm,ACEMAC,-453.4470928888889
465nm,ALNRUB,-485.0655487
465nm,POPTRI,-975.1024533333333
465nm,THUPLI,-703.6985672666667
465nm,TSUHET,-746.9637133333333
466nm,ACEGLA,-860.1644211666667
466nm,ACEMAC,-453.5227278148148
466nm,ALNRUB,-485.26309986666666
466nm,POPTRI,-975.547696
466nm,THUPLI,-703.6662062666667
466nm,TSUHET,-747.3007003333333
467nm,ACEGLA,-860.5756793333334
467nm,ACEMAC,-453.5343438518519
467nm,ALNRUB,-485.4340737
467nm,POPTRI,-975.632795
467nm,THUPLI,-703.5801327333334
467nm,TSUHET,-747.473899
468nm,ACEGLA,-861.0224738333334
468nm,ACEMAC,-453.52510285185184
468nm,ALNRUB,-485.59636593333335
468nm,POPTRI,-975.6004913333333
468nm,THUPLI,-703.4765849333334
468nm,TSUHET,-747.593742
469nm,ACEGLA,-862.2649465
469nm,ACEMAC,-454.2020430740741
469nm,ALNRUB,-486.4168631333334
469nm,POPTRI,-977.1843949999999
469nm,THUPLI,-704.2152864
469nm,TSUHET,-748.6664883333334
470nm,ACEGLA,-863.7189045
470nm,ACEMAC,-455.0146119259259
470nm,ALNRUB,-487.3821031
470nm,POPTRI,-979.0546106666666
470nm,THUPLI,-705.1560916
470nm,TSUHET,-749.933805
471nm,ACEGLA,-866.9050188333333
471nm,ACEMAC,-456.7232117777778
471nm,ALNRUB,-489.39398496666666
471nm,POPTRI,-982.6127976666666
471nm,THUPLI,-707.6520863333334
471nm,TSUHET,-752.5245573333333
472nm,ACEGLA,-870.4873735
472nm,ACEMAC,-458.57011962962963
472nm,ALNRUB,-491.5134361666667
472nm,POPTRI,-986.5039926666667
472nm,THUPLI,-710.3579919333333
472nm,TSUHET,-755.3872286666666
473nm,ACEGLA,-875.3712525
473nm,ACEMAC,-460.87124477777775
473nm,ALNRUB,-493.9861405666667
473nm,POPTRI,-991.489229
473nm,THUPLI,-713.7533128666666
473nm,TSUHET,-759.1431556666666
474nm,ACEGLA,-880.378079
474nm,ACEMAC,-463.30833496296293
474nm,ALNRUB,-496.67041670000003
474nm,POPTRI,-996.664383
474nm,THUPLI,-717.3905076
474nm,TSUHET,-763.1457673333333
475nm,ACEGLA,-885.572857
475nm,ACEMAC,-465.9534180740741
475nm,ALNRUB,-499.6782809333334
475nm,POPTRI,-1002.1298226666665
475nm,THUPLI,-721.3975804
475nm,TSUHET,-767.5257486666667
476nm,ACEGLA,-889.62704
476nm,ACEMAC,-468.1133546666667
476nm,ALNRUB,-502.181914
476nm,POPTRI,-1007.0705993333335
476nm,THUPLI,-724.6386494666667
476nm,TSUHET,-770.937615
477nm,ACEGLA,-892.7789805
477nm,ACEMAC,-469.8895808888889
477nm,ALNRUB,-504.28668646666665
477nm,POPTRI,-1011.5963350000001
477nm,THUPLI,-727.2738312666667
477nm,TSUHET,-773.5837963333333
478nm,ACEGLA,-893.6916225
478nm,ACEMAC,-470.25680014814816
478nm,ALNRUB,-504.74023289999997
478nm,POPTRI,-1012.5231916666665
478nm,THUPLI,-727.7026422666667
478nm,TSUHET,-773.9930860000001
479nm,ACEGLA,-893.7442338333334
479nm,ACEMAC,-470.0828842962963
479nm,ALNRUB,-504.5595600666667
479nm,POPTRI,-1012.0678463333333
479nm,THUPLI,-727.2840524
479nm,TSUHET,-773.5432950000001
480nm,ACEGLA,-888.92689
480nm,ACEMAC,-467.5795018148148
480nm,ALNRUB,-502.0128638333333
480nm,POPTRI,-1006.6294503333332
480nm,THUPLI,-723.1382731333333
480nm,TSUHET,-769.5413313333333
481nm,ACEGLA,-883.5637510000001
481nm,ACEMAC,-464.80414681481483
481nm,ALNRUB,-499.1878610333333
481nm,POPTRI,-1000.6166579999999
481nm,THUPLI,-718.567453
481nm,TSUHET,-765.093735
482nm,ACEGLA,-879.4110948333333
482nm,ACEMAC,-462.4185445925926
482nm,ALNRUB,-496.72276143333335
482nm,POPTRI,-995.5646526666668
482nm,THUPLI,-714.7969773333333
482nm,TSUHET,-760.7035256666667
483nm,ACEGLA,-875.6916875
483nm,ACEMAC,-460.346066
483nm,ALNRUB,-494.59385253333335
483nm,POPTRI,-991.059708
483nm,THUPLI,-711.4776504666667
483nm,TSUHET,-756.8990940000001
484nm,ACEGLA,-873.4914521666667
484nm,ACEMAC,-459.3714018888889
484nm,ALNRUB,-493.64375493333335
484nm,POPTRI,-988.473407
484nm,THUPLI,-709.740303
484nm,TSUHET,-755.1486006666667
485nm,ACEGLA,-871.21803
485nm,ACEMAC,-458.209823
485nm,ALNRUB,-492.5240708333333
485nm,POPTRI,-985.8455266666666
485nm,THUPLI,-707.7644040666667
485nm,TSUHET,-753.1560946666666
486nm,ACEGLA,-868.8306531666667
486nm,ACEMAC,-456.7568161111111
486nm,ALNRUB,-491.1399337666666
486nm,POPTRI,-983.152983
486nm,THUPLI,-705.4166116666667
486nm,TSUHET,-750.7862373333332
487nm,ACEGLA,-866.686031
487nm,ACEMAC,-455.63053474074076
487nm,ALNRUB,-490.0751528
487nm,POPTRI,-981.0689526666667
487nm,THUPLI,-703.5379310666667
487nm,TSUHET,-748.8265216666667
488nm,ACEGLA,-864.7316696666667
488nm,ACEMAC,-454.76016837037037
488nm,ALNRUB,-489.2605068666667
488nm,POPTRI,-979.4614776666666
488nm,THUPLI,-702.0266739333333
488nm,TSUHET,-747.1881520000001
489nm,ACEGLA,-865.774211
489nm,ACEMAC,-455.329866
489nm,ALNRUB,-489.999365
489nm,POPTRI,-980.3489059999999
489nm,THUPLI,-702.765164
489nm,TSUHET,-747.9253963333333
490nm,ACEGLA,-867.9135475
490nm,ACEMAC,-456.4266414814815
490nm,ALNRUB,-491.3068408333333
490nm,POPTRI,-982.1494673333333
490nm,THUPLI,-704.3270580666667
490nm,TSUHET,-749.5322606666667
491nm,ACEGLA,-874.4693854999999
491nm,ACEMAC,-460.06200714814815
491nm,ALNRUB,-495.1701705
491nm,POPTRI,-989.7085470000001
491nm,THUPLI,-709.5098213333333
491nm,TSUHET,-755.4883573333333
492nm,ACEGLA,-881.3199785
492nm,ACEMAC,-463.8509244074074
492nm,ALNRUB,-499.1933686
492nm,POPTRI,-997.6519073333333
492nm,THUPLI,-714.9310141333334
492nm,TSUHET,-761.7109373333334
493nm,ACEGLA,-886.1503841666666
493nm,ACEMAC,-466.29117196296295
493nm,ALNRUB,-501.9204481666667
493nm,POPTRI,-1002.9597916666665
493nm,THUPLI,-718.6575449333333
493nm,TSUHET,-765.6633173333333
494nm,ACEGLA,-889.6267586666667
494nm,ACEMAC,-468.07606000000004
494nm,ALNRUB,-503.9600432666667
494nm,POPTRI,-1006.8545376666667
494nm,THUPLI,-721.3422722666667
494nm,TSUHET,-768.5123576666666
495nm,ACEGLA,-889.1105124999999
495nm,ACEMAC,-467.92839988888886
495nm,ALNRUB,-503.97226656666663
495nm,POPTRI,-1006.5821266666666
495nm,THUPLI,-720.9549042666666
495nm,TSUHET,-768.1078563333333
496nm,ACEGLA,-888.5467603333333
496nm,ACEMAC,-467.67702344444444
496nm,ALNRUB,-503.76928506666667
496nm,POPTRI,-1006.0407853333332
496nm,THUPLI,-720.4355895333333
496nm,TSUHET,-767.5908253333333
497nm,ACEGLA,-887.9201251666666
497nm,ACEMAC,-467.2879025185185
497nm,ALNRUB,-503.2804488
497nm,POPTRI,-1005.1420606666667
497nm,THUPLI,-719.7409221333334
497nm,TSUHET,-766.924229
498nm,ACEGLA,-887.3645773333334
498nm,ACEMAC,-466.94319977777775
498nm,ALNRUB,-503.00334423333334
498nm,POPTRI,-1004.0847066666666
498nm,THUPLI,-719.0197084666667
498nm,TSUHET,-766.4583423333333
499nm,ACEGLA,-886.8549421666667
499nm,ACEMAC,-466.62723611111113
499nm,ALNRUB,-502.86331103333333
499nm,POPTRI,-1002.9246400000001
499nm,THUPLI,-718.2812729999999
499nm,TSUHET,-766.1222186666666
500nm,ACEGLA,-883.3036468333335
500nm,ACEMAC,-464.67458300000004
500nm,ALNRUB,-500.88270736666664
500nm,POPTRI,-998.7358786666666
500nm,THUPLI,-714.9833285333333
500nm,TSUHET,-762.9832666666666
501nm,ACEGLA,-878.9239699999999
501nm,ACEMAC,-462.2762006666667
501nm,ALNRUB,-498.400829
501nm,POPTRI,-993.7222923333334
501nm,THUPLI,-710.9882874666666
501nm,TSUHET,-759.0808713333332
502nm,ACEGLA,-878.4240881666667
502nm,ACEMAC,-461.9335213333334
502nm,ALNRUB,-498.0813785666667
502nm,POPTRI,-993.0048989999999
502nm,THUPLI,-710.5012358666667
502nm,TSUHET,-758.4520596666666
